ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo
432.0	8168.3486	290.4023	40.1854	1017.5903	38.999	604.6862	0.001	1.446923e-05	0.01355778	4.315276e-05	0.02402751	214.8514835	52.8025043	514.0	8168.3481	290.4023	39.6442	695.6838	38.6861	458.1071	0.001	2.381947e-05	0.01525858	5.756868e-05	0.02428418	214.8514835	52.8025043
516.0	9549.6973	319.4589	32.228	0.4626	31.0262	0.3916	0.349	0.02204965	0.009393107	0.06670002	0.02405198	214.8388601	52.7938838	575.0	9549.7188	319.4566	32.1732	0.4446	30.9407	0.3656	0.349	0.02319151	0.009493446	0.07216813	0.02429654	214.8388599	52.7938837
682.0	8513.6084	421.4626	28.5932	0.0727	28.7397	0.0476	0.0	0.6270971	0.04200725	0.5479576	0.02400914	214.8470269	52.8010173	762.0	8513.6875	421.4604	28.4737	0.0751	28.6965	0.0463	0.0	0.7000617	0.04840726	0.5701867	0.02431509	214.8470262	52.8010168
691.0	8232.6494	443.3178	28.6783	0.2343	99.0	99.0	0.05	0.5798333	0.1251142	-0.0001465852	0.02403363	214.849303	52.8029203	803.0	8232.6494	443.3179	99.0	99.0	99.0	99.0	0.636	-0.04723489	0.07717379	-0.004918912	0.02429036	214.849303	52.8029203
777.0	815.9119	489.498	27.4471	0.036	27.7609	0.0194	0.0	1.801993	0.05977736	1.349742	0.02408253	214.9150391	52.8502753	862.0	815.9069	489.4984	27.4888	0.0316	27.7894	0.0201	0.0	1.734083	0.05053272	1.314745	0.02434595	214.9150392	52.8502753
785.0	1361.1327	485.7455	27.3015	0.03	27.7889	0.0198	0.0	2.06064	0.05687809	1.315413	0.02403975	214.9102056	52.8467934	868.0	1361.1194	485.7453	27.4372	0.0311	27.8142	0.0205	0.0	1.818569	0.05206991	1.285014	0.02429654	214.9102057	52.8467935
792.0	8139.1768	466.0789	38.2795	168.6931	38.2795	311.5317	0.052	8.371726e-05	0.01300417	8.371726e-05	0.02401527	214.8498974	52.803637	885.0	8139.1768	466.0789	37.0486	57.2112	36.6023	67.1812	0.049	0.000260107	0.01370261	0.0003923594	0.0242718	214.8498974	52.803637
870.0	8274.8867	524.5381	26.5912	0.0179	27.439	0.0144	0.0	3.963917	0.0652466	1.815508	0.02405809	214.8480726	52.8030899	970.0	8274.8164	524.533	26.5407	0.0166	27.4193	0.0143	0.0	4.152594	0.06344766	1.848812	0.02427799	214.8480733	52.8030903
898.0	8535.2568	530.116	27.9098	0.0315	28.0784	0.0259	0.006	1.176707	0.03408374	1.007506	0.02405809	214.8456919	52.8014656	1016.0	8535.2041	530.1161	27.9569	0.0365	28.0997	0.0267	0.005	1.12677	0.03787476	0.9879127	0.02425942	214.8456924	52.8014659
1134.0	8895.2373	627.7624	99.0	99.0	99.0	99.0	0.347	-0.01866425	0.01150416	-0.1124228	0.02405198	214.8414554	52.7997047	1287.0	8895.2256	627.7566	99.0	99.0	99.0	99.0	0.347	-0.01882314	0.01162705	-0.1137399	0.02429036	214.8414556	52.7997047
