X_IMAGE	Y_IMAGE	My_ID
529.2727	164.8757	1
624.6032	551.3497	2
420.0562	312.7012	3
345.5265	336.9449	4
358.29	337.6096	5
3453.4236	320.0244	6
3958.1855	254.0701	7
1144.4268	207.0288	8
8745.1074	692.477	9
1516.0841	188.0121	10
3374.2959	243.9877	11
3602.1294	220.0055	12
946.9797	172.2809	13
3879.4207	161.4621	14
4155.8311	193.9667	15
2581.1643	310.7299	16
983.4505	135.7324	17
975.5986	135.3605	18
10179.3193	401.0069	19
1661.0972	146.0168	20
1862.3134	158.0766	21
710.4362	692.1122	22
720.3254	383.2818	23
2839.5928	371.0517	24
4062.2471	144.1724	25
3869.8857	173.3175	26
977.4229	158.3552	27
4052.4333	145.7263	28
1106.3109	157.2186	29
950.6176	142.7186	30
189.2006	140.1999	31
4041.5198	141.0807	32
1240.5051	157.8261	33
2565.3557	149.8417	34
972.3421	165.5668	35
4038.3086	140.3265	36
9394.5791	539.5083	37
3767.6582	159.2029	38
904.9067	439.7265	39
2041.2924	185.981	40
758.1318	231.5067	41
2586.8704	145.4613	42
2614.4336	148.7789	43
3900.5808	246.3932	44
2795.8743	149.4638	45
717.5222	206.4371	46
2519.647	187.1812	47
295.2859	179.6061	48
2479.8501	149.5031	49
2609.8479	192.5274	50
2569.2363	180.0414	51
662.983	212.9813	52
4398.2612	172.7559	53
2442.9714	152.5412	54
2222.4954	183.5999	55
713.1939	165.6097	56
877.242	181.1535	57
755.495	164.7754	58
2249.2222	182.8547	59
775.9468	177.1918	60
2209.7759	187.3704	61
1007.7704	182.8596	62
4220.5918	169.8569	63
1227.3496	170.4166	64
387.0681	167.0863	65
268.632	165.0556	66
2784.7566	190.1674	67
1310.2764	185.5237	68
3683.5959	182.184	69
2073.8914	175.889	70
2549.9504	161.9585	71
1520.1526	753.5997	72
937.0325	164.9008	73
3677.0857	174.9449	74
3296.0085	168.215	75
2054.3826	167.8335	76
1246.4116	183.3852	77
1447.0972	168.8841	78
1218.5585	168.597	79
1035.1384	166.3804	80
3106.7451	197.8736	81
711.9373	169.7407	82
3639.3418	206.3935	83
3882.6721	181.0837	84
2257.6963	175.3467	85
3844.2258	174.539	86
1893.3087	175.5524	87
1400.5139	171.014	88
329.1887	166.5649	89
1855.6251	166.3079	90
6922.8306	258.2413	91
3191.3071	177.5734	92
329.6196	169.8512	93
2520.449	196.4784	94
2773.6147	180.4522	95
2675.2524	178.4047	96
755.1567	176.6732	97
2540.552	165.5457	98
2770.8049	188.4689	99
3633.606	184.5784	100
4340.6289	168.9216	101
4421.2754	179.9349	102
4174.9194	182.3339	103
2576.9453	177.7928	104
728.9901	174.6537	105
4421.9697	167.4743	106
3957.3252	171.184	107
4249.8135	168.7064	108
3674.9351	177.4628	109
1289.7672	173.8505	110
3847.3823	172.1373	111
3809.4221	171.9679	112
386.613	171.7319	113
3294.6824	175.4205	114
3064.9197	184.0515	115
2452.1443	184.2488	116
3513.6172	173.8553	117
1938.5763	174.4207	118
1461.7869	179.253	119
2731.197	177.3255	120
3372.3391	174.7906	121
4381.4805	528.9887	122
2776.8301	192.7979	123
797.5455	186.4937	124
2678.0076	175.5341	125
1620.7609	178.0123	126
2734.3047	175.7611	127
2540.1802	176.0738	128
716.6605	176.3444	129
3622.7886	173.4139	130
3814.4998	189.8509	131
4361.1338	174.4501	132
3632.8494	286.7014	133
3304.46	190.5054	134
1260.3322	191.3385	135
762.9632	185.7144	136
2959.7473	175.4068	137
2020.8003	188.4305	138
731.5235	183.4862	139
