ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo	DELTA_FLUX	DELTA_MAG
56.0	713.1939	165.6097	27.1698	0.0221	29.1106	0.0669	0.461	2.326468	0.0472776	0.3893843	0.0239785	214.9193622	52.849179	57.0	713.1939	165.6097	27.8396	0.0328	29.055	0.0635	0.461	1.255405	0.03786482	0.4098446	0.0239785	214.9193622	52.849179	1.071063	0.6698000000000022
73.0	937.0325	164.9008	26.2769	0.014	27.9845	0.0237	0.0	5.294606	0.06816747	1.098471	0.02402139	214.9173689	52.8477541	71.0	937.0325	164.9008	26.4212	0.0153	27.9818	0.0237	0.0	4.635787	0.06530292	1.101229	0.02402139	214.9173689	52.8477541	0.6588190000000003	0.14429999999999765
74.0	3677.0857	174.9449	29.3419	0.1812	29.7507	0.1209	0.084	0.3146659	0.05250906	0.2159409	0.02404586	214.8927821	52.8304102	72.0	3677.0857	174.9449	29.0319	0.1396	29.4122	0.0885	0.071	0.4186484	0.05382286	0.2949273	0.02404586	214.8927821	52.8304102	0.10398249999999998	0.3099999999999987
139.0	731.5235	183.4862	28.2013	0.0655	30.5035	0.2422	0.359	0.8996885	0.05429887	0.1079429	0.02407032	214.9190104	52.8491591	143.0	731.5235	183.4862	28.3742	0.0706	30.5035	0.2422	0.359	0.7671996	0.04985136	0.1079429	0.02407032	214.9190104	52.8491591	0.13248890000000002	0.1728999999999985
397.0	8342.1475	280.76	27.7963	0.048	29.4469	0.0913	0.369	1.306492	0.05771222	0.2856591	0.02402751	214.8500348	52.8013481	389.0	8342.1475	280.76	27.92	0.0483	29.4469	0.0913	0.369	1.165742	0.05180421	0.2856591	0.02402751	214.8500348	52.8013481	0.14074999999999993	0.12370000000000303
454.0	6427.5352	303.5223	28.2439	0.0453	28.7611	0.0486	0.079	0.8650388	0.03607491	0.5372194	0.02405809	214.8668763	52.8136345	477.0	6427.5352	303.5223	28.3961	0.0481	28.8093	0.0508	0.07	0.7519439	0.03332016	0.5138879	0.02405809	214.8668763	52.8136345	0.1130949	0.15220000000000056
524.0	3016.8589	332.6829	27.6374	0.0322	28.4226	0.0356	0.0	1.512362	0.04488425	0.7337838	0.02405809	214.8970211	52.835454	518.0	3016.8589	332.6829	27.7661	0.0347	28.4277	0.0358	0.0	1.343284	0.04287347	0.7303523	0.02405809	214.8970211	52.835454	0.16907800000000006	0.12870000000000203
739.0	954.396	461.0294	26.7498	0.0296	28.8575	0.0531	0.0	3.425265	0.09330276	0.4915849	0.02401527	214.9141006	52.8492424	732.0	954.396	461.0294	26.929	0.032	28.8575	0.0531	0.0	2.904123	0.08557528	0.4915849	0.02401527	214.9141006	52.8492424	0.5211420000000002	0.17919999999999803
1056.0	2148.448	600.5112	27.9958	0.0614	28.9356	0.057	0.0	1.087193	0.06147524	0.4574716	0.02402751	214.9019638	52.8424137	1047.0	2148.448	600.5112	27.8913	0.0584	28.8997	0.0552	0.0	1.19698	0.06433878	0.4728651	0.02402751	214.9019638	52.8424137	0.10978699999999986	0.10449999999999804
1132.0	7497.5298	655.6141	27.0006	0.0285	27.7601	0.0193	0.0	2.718799	0.07143292	1.350705	0.02402751	214.8536289	52.8087357	1125.0	7497.5298	655.6141	26.8439	0.0264	27.7587	0.0193	0.0	3.140825	0.07621355	1.352521	0.02402751	214.8536289	52.8087357	0.4220259999999998	0.15669999999999717
1322.0	1023.4937	743.0485	27.3475	0.0325	29.1892	0.0721	0.059	1.975183	0.059097	0.3621794	0.02403975	214.9105181	52.8503259	1316.0	1023.4937	743.0485	27.4692	0.0348	29.1892	0.0721	0.059	1.765674	0.05655399	0.3621794	0.02403975	214.9105181	52.8503259	0.20950899999999995	0.12170000000000059
1787.0	1059.7604	927.9229	27.5588	0.0331	29.0692	0.0645	0.022	1.62586	0.0495555	0.4045253	0.02402139	214.9082502	52.8510935	1782.0	1059.7604	927.9229	27.7272	0.0359	29.0692	0.0645	0.022	1.392229	0.04601664	0.4045253	0.02402139	214.9082502	52.8510935	0.23363100000000014	0.16839999999999833
1801.0	1690.5052	942.4997	27.7123	0.0309	28.1198	0.027	0.001	1.411489	0.04021888	0.9697969	0.02408863	214.9024602	52.8471672	1793.0	1690.5052	942.4997	27.5615	0.0306	28.1131	0.0268	0.0	1.621899	0.04569596	0.9758034	0.02408863	214.9024602	52.8471672	0.21040999999999999	0.15080000000000027
1834.0	1018.6447	950.6042	26.4381	0.0146	28.077	0.0259	0.0	4.564055	0.06129557	1.008796	0.02403363	214.9083792	52.8514769	1823.0	1018.6447	950.6042	26.3364	0.0141	28.077	0.0259	0.0	5.012637	0.06513382	1.008796	0.02403363	214.9083792	52.8514769	0.44858200000000004	0.10169999999999746
1881.0	4349.6572	965.019	28.2777	0.0476	29.114	0.0672	0.001	0.8385639	0.03678134	0.3881438	0.02402751	214.8784709	52.8304013	1859.0	4349.6572	965.019	27.9843	0.0439	29.0783	0.0651	0.001	1.098768	0.04439009	0.4011165	0.02402751	214.8784709	52.8304013	0.26020409999999994	0.29339999999999833
2330.0	7632.9263	1164.7621	28.0792	0.0432	28.7359	0.0474	0.146	1.006801	0.04003565	0.5498358	0.02400914	214.8470693	52.8106209	2321.0	7632.9263	1164.7621	27.9196	0.0397	28.756	0.0483	0.063	1.166226	0.04261545	0.539752	0.02400914	214.8470693	52.8106209	0.15942499999999993	0.15960000000000107
2479.0	10296.9814	1299.7568	24.6304	0.0062	27.9582	0.0232	0.0	24.12375	0.1367388	1.125494	0.02403363	214.8218956	52.7944189	2476.0	10296.9814	1299.7568	24.8282	0.0066	27.9582	0.0232	0.0	20.1054	0.1212645	1.125494	0.02403363	214.8218956	52.7944189	4.018350000000002	0.1977999999999973
2542.0	7994.5049	1241.0212	28.6095	0.0578	29.0649	0.0642	0.0	0.6177295	0.03287587	0.4061182	0.02399689	214.8430425	52.8087345	2532.0	7994.5049	1241.0212	29.0763	0.0736	29.2024	0.0728	0.001	0.4018842	0.0272508	0.3578026	0.02399689	214.8430425	52.8087345	0.21584530000000002	0.4667999999999992
2889.0	6904.7539	1365.5685	27.3976	0.0369	28.8868	0.0546	0.001	1.886084	0.06410982	0.4785282	0.02403975	214.8514545	52.8163303	2875.0	6904.7539	1365.5685	27.2937	0.0353	28.8881	0.0546	0.001	2.075441	0.06740822	0.4779339	0.02403975	214.8514545	52.8163303	0.189357	0.10389999999999944
3022.0	7256.3745	1428.8964	27.6913	0.0477	29.4825	0.0943	0.382	1.439073	0.06318566	0.2764316	0.02400914	214.8476518	52.8144376	3007.0	7256.3745	1428.8964	27.8026	0.0502	29.4825	0.0943	0.382	1.29888	0.06002286	0.2764316	0.02400914	214.8476518	52.8144376	0.140193	0.11130000000000351
3075.0	2253.2959	1437.3558	27.4308	0.0324	28.796	0.0502	0.001	1.829339	0.05456902	0.5202676	0.02403363	214.8922286	52.8462638	3060.0	2253.2959	1437.3558	27.2811	0.0309	28.796	0.0502	0.001	2.099657	0.05965424	0.5202676	0.02403363	214.8922286	52.8462638	0.27031800000000006	0.14970000000000283
3082.0	7312.8979	1454.4595	27.9506	0.0467	28.9483	0.0578	0.002	1.133395	0.04873263	0.4521545	0.02405198	214.8468788	52.8142163	3068.0	7312.8979	1454.4595	27.8229	0.0465	28.9508	0.0579	0.002	1.274813	0.05456902	0.4511018	0.02405198	214.8468788	52.8142163	0.14141800000000004	0.1277000000000008
3123.0	7225.9741	1469.7684	27.9997	0.0383	28.9185	0.0561	0.044	1.083251	0.03815498	0.4647571	0.02402751	214.8474933	52.8148512	3108.0	7225.9741	1469.7684	28.1071	0.0403	28.9185	0.0561	0.024	0.9812218	0.03637934	0.4647571	0.02402751	214.8474933	52.8148512	0.10202919999999993	0.10739999999999839
3712.0	7472.3442	1688.0532	28.5467	0.0485	28.7774	0.0493	0.553	0.6545399	0.02920436	0.5292287	0.02403975	214.8430006	52.8144626	3698.0	7472.3442	1688.0532	28.3252	0.0471	28.7774	0.0493	0.316	0.8026435	0.03483057	0.5292287	0.02403975	214.8430006	52.8144626	0.1481036	0.22150000000000247
3890.0	4471.5796	1728.71	26.5716	0.0179	27.9504	0.023	0.0	4.036278	0.06664032	1.133608	0.02400914	214.8693531	52.8337464	3880.0	4471.5796	1728.71	26.7396	0.019	27.9249	0.0225	0.0	3.457589	0.06045007	1.160516	0.02400914	214.8693531	52.8337464	0.5786890000000002	0.16799999999999926
4114.0	1592.2318	1802.4847	27.8988	0.064	28.8214	0.0513	0.0	1.188716	0.07002959	0.5082247	0.02402139	214.8942956	52.8524321	4106.0	1592.2318	1802.4847	28.0422	0.0692	28.8214	0.0513	0.0	1.041657	0.0664193	0.5082247	0.02402139	214.8942956	52.8524321	0.14705900000000005	0.14339999999999975
4141.0	7658.1152	1804.4675	27.6024	0.04	28.8537	0.053	0.069	1.561818	0.0575208	0.4933329	0.02405809	214.8401196	52.8139098	4129.0	7658.1152	1804.4675	27.4786	0.0383	28.8537	0.053	0.069	1.750588	0.06177352	0.4933329	0.02405809	214.8401196	52.8139098	0.1887700000000001	0.12379999999999924
4185.0	8533.3164	1832.3417	27.8746	0.0391	28.6167	0.0426	0.0	1.21558	0.04380653	0.6136752	0.0240642	214.8320208	52.8084984	4182.0	8533.3164	1832.3417	28.1165	0.0404	28.5889	0.0415	0.0	0.9727771	0.03617667	0.6295782	0.0240642	214.8320208	52.8084984	0.24280290000000015	0.24189999999999756
4229.0	7570.791	1839.5994	28.0891	0.0415	28.4997	0.0381	0.0	0.9976346	0.03815498	0.6834924	0.02396623	214.8405292	52.8146541	4214.0	7570.791	1839.5994	28.2114	0.0422	28.4882	0.0377	0.003	0.8913755	0.03461884	0.6907675	0.02396623	214.8405292	52.8146541	0.10625910000000005	0.12230000000000274
4248.0	9073.0645	1857.8313	28.007	0.1547	28.6102	0.0423	0.0	1.076014	0.1533169	0.6173371	0.02402751	214.82694	52.8052056	4222.0	9073.0645	1857.8313	28.152	0.1832	28.6102	0.0423	0.0	0.9414845	0.1588287	0.6173371	0.02402751	214.82694	52.8052056	0.13452950000000008	0.14499999999999957
4263.0	3377.4565	1837.7145	27.0558	0.0213	28.447	0.0364	0.0	2.584027	0.05058343	0.7174926	0.0240642	214.877977	52.8412842	4264.0	3377.4565	1837.7145	26.853	0.0202	28.447	0.0364	0.0	3.114677	0.05783948	0.7174926	0.0240642	214.877977	52.8412842	0.5306500000000001	0.20279999999999987
4530.0	8969.3672	1920.2385	28.0075	0.0572	29.1095	0.067	0.007	1.075525	0.05668385	0.3897692	0.02403975	214.8272085	52.806201	4518.0	8969.3672	1920.2385	28.1251	0.0585	29.1523	0.0697	0.006	0.965052	0.05194595	0.3746865	0.02403975	214.8272085	52.806201	0.11047300000000004	0.11759999999999948
4667.0	2874.4065	1967.2642	27.6845	0.0323	28.0532	0.0253	0.007	1.448099	0.04312994	1.031171	0.02401527	214.8811078	52.8451782	4646.0	2874.4065	1967.2642	27.9191	0.0349	28.1644	0.028	0.007	1.166682	0.03747445	0.9307948	0.02401527	214.8811078	52.8451782	0.28141700000000003	0.23460000000000036
