ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo
1.0	529.2727	164.8757	20.0998	0.0005	22.9375	0.0002	0.029	1565.593	0.7819397	114.7117	0.02405198	214.921014	52.8503426	1.0	529.2727	164.8757	20.1	0.0005	22.9375	0.0002	0.029	1565.367	0.7819397	114.7117	0.02405198	214.921014	52.8503426
2.0	624.6032	551.3497	19.2505	0.0004	21.7214	0.0001	0.029	3423.041	1.321419	351.5835	0.02402751	214.9160989	52.8518237	2.0	624.6032	551.3497	19.2505	0.0004	21.7214	0.0001	0.029	3422.9	1.321421	351.5835	0.02402751	214.9160989	52.8518237
3.0	420.0562	312.7012	16.3121	0.0	17.9369	0.0	0.029	51257.18	0.70382	11477.54	0.02405809	214.9204363	52.851834	3.0	420.0562	312.7012	16.3115	0.0	17.9369	0.0	0.029	51288.99	0.7036528	11477.54	0.02405809	214.9204363	52.851834
4.0	345.5265	336.9449	16.8437	0.0	18.7199	0.0	0.078	31413.39	0.2512107	5580.146	0.02402751	214.9208477	52.852438	4.0	345.5265	336.9449	16.8406	0.0	18.7199	0.0	0.091	31503.71	0.2509032	5580.146	0.02402751	214.9208477	52.852438
5.0	358.29	337.6096	17.4025	0.0	18.7778	0.0	0.699	18775.66	0.1547014	5290.238	0.02400302	214.9207266	52.8523606	5.0	358.29	337.6096	17.4128	0.0	18.7778	0.0	0.549	18598.9	0.1544397	5290.238	0.02400302	214.9207266	52.8523606
6.0	3453.4236	320.0244	22.6091	0.0012	24.6248	0.0011	0.029	155.2201	0.1720931	24.24801	0.02401527	214.8932547	52.8326134	6.0	3453.4236	320.0244	22.6091	0.0012	24.6248	0.0011	0.029	155.2201	0.1720931	24.24801	0.02401527	214.8932547	52.8326134
7.0	3958.1855	254.0701	22.9699	0.0014	24.6176	0.0011	0.029	111.3428	0.1391903	24.41058	0.02403363	214.88944	52.829052	7.0	3958.1855	254.0701	22.9699	0.0014	24.6176	0.0011	0.029	111.3428	0.1391903	24.41058	0.02403363	214.88944	52.829052
8.0	1144.4268	207.0288	20.2069	0.0002	21.2848	0.0	0.029	1418.552	0.2035835	525.6484	0.02402139	214.9150724	52.8466648	8.0	1144.4268	207.0288	20.2069	0.0002	21.2848	0.0	0.029	1418.552	0.2035835	525.6484	0.02402139	214.9150724	52.8466648
9.0	8745.1074	692.477	18.485	0.0	19.8673	0.0	0.03	6927.851	0.2878467	1939.559	0.02407642	214.8421141	52.8010076	9.0	8745.1074	692.477	18.485	0.0	19.8673	0.0	0.03	6927.851	0.2878467	1939.559	0.02407642	214.8421141	52.8010076
10.0	1516.0841	188.0121	23.6802	0.0036	26.5412	0.0063	0.001	57.87925	0.1914866	4.150727	0.02400914	214.9119507	52.8442026	11.0	1516.0841	188.0121	23.6802	0.0036	26.5412	0.0063	0.001	57.87925	0.1914866	4.150727	0.02400914	214.9119507	52.8442026
11.0	3374.2959	243.9877	23.8205	0.0023	25.0088	0.0015	0.029	50.86359	0.1066507	17.02551	0.02400302	214.8947607	52.8327056	12.0	3374.2959	243.9877	23.8189	0.0023	25.0088	0.0015	0.029	50.94027	0.1069605	17.02551	0.02400302	214.8947607	52.8327056
12.0	3602.1294	220.0055	23.8584	0.0024	25.106	0.0017	0.029	49.11964	0.1071322	15.56651	0.02401527	214.8929779	52.8311294	13.0	3602.1294	220.0055	23.8584	0.0024	25.106	0.0017	0.029	49.11964	0.1071322	15.56651	0.02401527	214.8929779	52.8311294
13.0	946.9797	172.2809	24.2149	0.0072	27.6758	0.0179	0.0	35.3709	0.2343576	1.459809	0.02402139	214.9172024	52.8477308	14.0	946.9797	172.2809	24.2118	0.0072	27.6758	0.0179	0.0	35.473	0.2344517	1.459809	0.02402139	214.9172024	52.8477308
14.0	3879.4207	161.4621	23.6297	0.0014	24.8023	0.0013	0.029	60.63603	0.07956466	20.59092	0.02401527	214.8911168	52.8290525	15.0	3879.4207	161.4621	23.6279	0.0014	24.8023	0.0013	0.029	60.73643	0.07984141	20.59092	0.02401527	214.8911168	52.8290525
15.0	4155.8311	193.9667	24.5365	0.0045	26.0859	0.0041	0.001	26.30253	0.1084284	6.313264	0.02403363	214.8883068	52.8274725	16.0	4155.8311	193.9667	24.5359	0.0045	26.0859	0.0041	0.001	26.31754	0.1083944	6.313264	0.02403363	214.8883068	52.8274725
16.0	2581.1643	310.7299	24.1032	0.0035	26.3571	0.0053	0.001	39.20219	0.1261675	4.917763	0.02402751	214.901144	52.8381022	17.0	2581.1643	310.7299	24.1032	0.0035	26.3571	0.0053	0.001	39.20219	0.1261675	4.917763	0.02402751	214.901144	52.8381022
17.0	983.4505	135.7324	24.1809	0.0046	26.0075	0.0038	0.028	36.49605	0.1542253	6.785613	0.02402139	214.9172606	52.847302	18.0	983.4505	135.7324	24.1657	0.0046	26.0075	0.0038	0.028	37.01095	0.1570129	6.785613	0.02402139	214.9172606	52.847302
18.0	975.5986	135.3605	24.8293	0.0054	26.3674	0.0054	0.025	20.0862	0.0994073	4.871119	0.02403363	214.9173347	52.8473498	22.0	975.5986	135.3605	24.8899	0.0055	26.3589	0.0053	0.026	18.99554	0.09594466	4.909609	0.02403363	214.9173347	52.8473498
19.0	10179.3193	401.0069	22.5017	0.0008	23.7219	0.0005	0.029	171.3671	0.1310835	55.69743	0.02400302	214.8323902	52.7903223	19.0	10179.3193	401.0069	22.5017	0.0008	23.7219	0.0005	0.029	171.3671	0.1310835	55.69743	0.02400302	214.8323902	52.7903223
