ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo
1.0	529.2727	164.8757	20.0998	0.0005	22.9375	0.0002	0.029	1565.593	0.7819397	114.7117	0.02405198	214.921014	52.8503426	1.0	529.2727	164.8757	20.1	0.0005	22.9375	0.0002	0.029	1565.367	0.7819397	114.7117	0.02405198	214.921014	52.8503426
2.0	624.6032	551.3497	19.2505	0.0004	21.7214	0.0001	0.029	3423.041	1.321419	351.5835	0.02402751	214.9160989	52.8518237	2.0	624.6032	551.3497	19.2505	0.0004	21.7214	0.0001	0.029	3422.9	1.321421	351.5835	0.02402751	214.9160989	52.8518237
3.0	420.0562	312.7012	16.3121	0.0	17.9369	0.0	0.029	51257.18	0.70382	11477.54	0.02405809	214.9204363	52.851834	3.0	420.0562	312.7012	16.3115	0.0	17.9369	0.0	0.029	51288.99	0.7036528	11477.54	0.02405809	214.9204363	52.851834
4.0	345.5265	336.9449	16.8437	0.0	18.7199	0.0	0.078	31413.39	0.2512107	5580.146	0.02402751	214.9208477	52.852438	4.0	345.5265	336.9449	16.8406	0.0	18.7199	0.0	0.091	31503.71	0.2509032	5580.146	0.02402751	214.9208477	52.852438
5.0	358.29	337.6096	17.4025	0.0	18.7778	0.0	0.699	18775.66	0.1547014	5290.238	0.02400302	214.9207266	52.8523606	5.0	358.29	337.6096	17.4128	0.0	18.7778	0.0	0.549	18598.9	0.1544397	5290.238	0.02400302	214.9207266	52.8523606
11.0	3374.2959	243.9877	23.8205	0.0023	25.0088	0.0015	0.029	50.86359	0.1066507	17.02551	0.02400302	214.8947607	52.8327056	12.0	3374.2959	243.9877	23.8189	0.0023	25.0088	0.0015	0.029	50.94027	0.1069605	17.02551	0.02400302	214.8947607	52.8327056
13.0	946.9797	172.2809	24.2149	0.0072	27.6758	0.0179	0.0	35.3709	0.2343576	1.459809	0.02402139	214.9172024	52.8477308	14.0	946.9797	172.2809	24.2118	0.0072	27.6758	0.0179	0.0	35.473	0.2344517	1.459809	0.02402139	214.9172024	52.8477308
14.0	3879.4207	161.4621	23.6297	0.0014	24.8023	0.0013	0.029	60.63603	0.07956466	20.59092	0.02401527	214.8911168	52.8290525	15.0	3879.4207	161.4621	23.6279	0.0014	24.8023	0.0013	0.029	60.73643	0.07984141	20.59092	0.02401527	214.8911168	52.8290525
15.0	4155.8311	193.9667	24.5365	0.0045	26.0859	0.0041	0.001	26.30253	0.1084284	6.313264	0.02403363	214.8883068	52.8274725	16.0	4155.8311	193.9667	24.5359	0.0045	26.0859	0.0041	0.001	26.31754	0.1083944	6.313264	0.02403363	214.8883068	52.8274725
17.0	983.4505	135.7324	24.1809	0.0046	26.0075	0.0038	0.028	36.49605	0.1542253	6.785613	0.02402139	214.9172606	52.847302	18.0	983.4505	135.7324	24.1657	0.0046	26.0075	0.0038	0.028	37.01095	0.1570129	6.785613	0.02402139	214.9172606	52.847302
18.0	975.5986	135.3605	24.8293	0.0054	26.3674	0.0054	0.025	20.0862	0.0994073	4.871119	0.02403363	214.9173347	52.8473498	22.0	975.5986	135.3605	24.8899	0.0055	26.3589	0.0053	0.026	18.99554	0.09594466	4.909609	0.02403363	214.9173347	52.8473498
25.0	4062.2471	144.1724	27.0501	0.0166	27.7211	0.0186	0.436	2.597511	0.03966665	1.400157	0.02403363	214.8896658	52.8277982	35.0	4062.2471	144.1724	27.0075	0.0162	27.7211	0.0186	0.166	2.701523	0.04040128	1.400157	0.02403363	214.8896658	52.8277982
26.0	3869.8857	173.3175	25.0535	0.0046	25.9191	0.0036	0.028	16.33764	0.06934378	7.361463	0.02407031	214.8910773	52.829177	27.0	3869.8857	173.3175	25.0817	0.0047	25.9567	0.0037	0.028	15.91901	0.06918455	7.111088	0.02407031	214.8910773	52.829177
27.0	977.4229	158.3552	24.3493	0.0028	25.38	0.0022	0.029	31.25295	0.08139187	12.09552	0.02403975	214.9170767	52.8474624	25.0	977.4229	158.3552	24.3545	0.0028	25.3813	0.0022	0.029	31.10324	0.08112042	12.08089	0.02403975	214.9170767	52.8474624
28.0	4052.4333	145.7263	26.1835	0.0116	27.5581	0.016	0.075	5.770323	0.06189242	1.626998	0.02402139	214.8897371	52.8278689	28.0	4052.4333	145.7263	26.187	0.0117	27.5581	0.016	0.075	5.751942	0.06189242	1.626998	0.02402139	214.8897371	52.8278689
32.0	4041.5198	141.0807	26.814	0.0147	27.4261	0.0142	0.156	3.228548	0.04380653	1.837176	0.02407031	214.8898834	52.8279131	32.0	4041.5198	141.0807	26.7541	0.0143	27.4194	0.0141	0.188	3.411548	0.04504776	1.84857	0.02407031	214.8898834	52.8279131
35.0	972.3421	165.5668	24.9458	0.0072	27.5495	0.0159	0.0	18.04229	0.1195547	1.639886	0.02403363	214.9170463	52.8475335	36.0	972.3421	165.5668	24.986	0.0074	27.6514	0.0175	0.0	17.38612	0.1181007	1.492898	0.02403363	214.9170463	52.8475335
47.0	2519.647	187.1812	26.8846	0.0259	28.2188	0.0295	0.0	3.025305	0.07225166	0.8853111	0.02403975	214.9029923	52.8378261	44.0	2519.647	187.1812	26.8626	0.0256	28.2177	0.0295	0.0	3.087297	0.07285967	0.8862219	0.02403975	214.9029923	52.8378261
50.0	2609.8479	192.5274	26.5986	0.0285	27.9964	0.024	0.0	3.937173	0.1031461	1.086546	0.02402751	214.9021302	52.8372822	10.0	2609.8479	192.5274	26.5903	0.0293	27.9964	0.024	0.0	3.967178	0.1070292	1.086546	0.02402751	214.9021302	52.8372822
