X_IMAGE	Y_IMAGE	My_ID
4038.3086	140.3265	36
2614.4336	148.7789	43
3674.9351	177.4628	109
386.613	171.7319	113
3696.9785	184.2556	158
2785.7393	208.7363	224
4272.3496	259.7049	320
6228.667	271.0905	346
3852.2151	282.6205	385
7502.1353	661.2266	1193
1083.0045	708.9935	1273
7119.5151	700.5051	1292
1017.2671	722.5334	1324
4442.062	787.0	1494
1697.8247	941.5543	1829
4348.3389	961.3368	1888
1137.001	1222.2333	2498
6749.3613	1400.6053	2916
6740.5537	1400.1012	2953
4131.6143	1407.317	2959
6954.5073	1412.1561	2993
8857.6641	1418.3191	3009
7570.3164	1842.2966	4207
7310.6372	1852.719	4235
7090.2847	1981.6273	4685
4301.0	2137.0391	5190
8826.0029	2152.6133	5239
8771.9629	2213.5715	5448
4172.4888	2270.4385	5605
10304.291	2290.3499	5660
6986.7148	2314.5071	5695
8939.9131	2388.5618	5938
6928.4443	2394.0508	5994
4476.269	2404.1931	6029
6180.3228	2481.2952	6239
8500.7754	2552.2546	6479
8613.3496	2562.9956	6502
8596.334	2608.0972	6636
8000.2407	2696.7085	6835
8403.5244	2723.9778	6944
9295.4814	2733.4958	6976
8090.8867	2840.6707	7246
6295.6626	2879.1345	7357
10310.7803	3038.7349	7851
3843.3613	3165.8787	8199
8469.5195	3393.4912	8822
6238.5439	3406.4468	8880
6008.2993	3498.2896	9136
8521.5371	3608.1599	9504
7663.4434	3642.7229	9636
8253.6768	3700.3755	9799
10150.6406	3846.2495	10179
6641.6064	4666.416	10275
1284.8585	4260.3477	10396
9737.3467	3941.6499	10978
7698.4165	4226.4976	11264
1293.5402	4260.6509	11281
1278.1755	4267.4141	11639
1321.6093	4241.5815	11872
