source_number	filter	x_image	y_image	nmad_flux_error	redshift_bin	pointing
958	F606W	10277.0078	678.4905	0.0031749129686233974	z7-8	nircam7
998	F606W	689.4515	692.9848	0.0029037338235096475	z7-8	nircam7
1359	F606W	10364.5273	822.081	0.0031449788141748925	z7-8	nircam7
1843	F606W	3334.6228	1008.3906	0.0036918460927434058	z7-8	nircam7
2308	F606W	2381.7744	1199.5356	0.0033859718232743144	z7-8	nircam7
2820	F606W	4191.3369	1370.4683	0.0029075943995055887	z7-8	nircam7
4316	F606W	2933.6445	1716.5439	0.003925249393578603	z7-8	nircam7
6714	F606W	1988.8589	2385.3889	0.0028582800962528975	z7-8	nircam7
8044	F606W	4031.7251	2714.7156	0.002257451971033961	z7-8	nircam7
8191	F606W	4029.9971	2761.7026	0.0023272497020461794	z7-8	nircam7
8243	F606W	721.7584	2775.0002	0.0022742494138190605	z7-8	nircam7
9004	F606W	9744.3789	2976.4863	0.0029263856025791317	z7-8	nircam7
9657	F606W	10838.999	3153.0935	0.002805181564474201	z7-8	nircam7
11711	F606W	4261.9868	3654.02	0.0024264873079247527	z7-8	nircam7
12315	F606W	3074.6379	3783.8662	0.0026003109012048466	z7-8	nircam7
12905	F606W	3169.3682	3929.7971	0.002321166617429213	z7-8	nircam7
13770	F606W	4689.7471	4225.3452	0.0026139672611815	z7-8	nircam7
13889	F606W	10283.1572	4281.4468	0.002670180504431208	z7-8	nircam7
14498	F606W	10104.6582	4501.1499	0.002726319539095579	z7-8	nircam7
14526	F606W	3957.8804	4510.4092	0.002729060521685101	z7-8	nircam7
958	F814W	10277.0078	678.4905	0.003567042143409935	z7-8	nircam7
998	F814W	689.4515	692.9848	0.002572556090375362	z7-8	nircam7
1359	F814W	10364.5273	822.081	0.0035678122729314097	z7-8	nircam7
1843	F814W	3334.6228	1008.3906	0.0034415598811664574	z7-8	nircam7
2308	F814W	2381.7744	1199.5356	0.003006012761666987	z7-8	nircam7
2820	F814W	4191.3369	1370.4683	0.0026238281309153015	z7-8	nircam7
4316	F814W	2933.6445	1716.5439	0.0031690254081512765	z7-8	nircam7
6714	F814W	1988.8589	2385.3889	0.002968475910150841	z7-8	nircam7
8044	F814W	4031.7251	2714.7156	0.002675314518173105	z7-8	nircam7
8191	F814W	4029.9971	2761.7026	0.0028527700384773243	z7-8	nircam7
