source_number	filter	x_image	y_image	sex_flux_ujy	nmad_error_ujy	redshift_bin	pointing
675	F606W	1063.1985	423.542	0.006531826626938996	0.0046126892013939776	z7-8	nircam10
1081	F606W	3336.532	627.9122	0.005607369704197331	0.003419642272835397	z7-8	nircam10
1216	F606W	6499.2173	694.8171	0.0007088739455200266	0.005052451377622299	z7-8	nircam10
1697	F606W	1352.772	908.4111	-0.002424242809425124	0.004013354147264444	z7-8	nircam10
3712	F606W	2157.7029	1632.9373	0.0019299770053480944	0.0031125682899236368	z7-8	nircam10
3742	F606W	2195.3169	1648.1593	0.0025264223977633747	0.0029985092691371955	z7-8	nircam10
3979	F606W	1445.8813	1740.2555	-0.0010204197058858394	0.003247732115998231	z7-8	nircam10
4941	F606W	7562.1401	2034.5925	-0.0013659871886487179	0.003198285670697675	z7-8	nircam10
5161	F606W	3107.9993	2135.1851	0.0020765818477381406	0.0027947083875665825	z7-8	nircam10
5850	F606W	6135.9707	2341.9883	0.00022375512296814843	0.003326365032038259	z7-8	nircam10
7608	F606W	1746.3938	2904.3247	-0.0011809176356813121	0.0025976361479694626	z7-8	nircam10
8153	F606W	9664.3301	3078.6394	-0.006426627430978796	0.0035458586414268854	z7-8	nircam10
8200	F606W	9546.3604	3098.5203	0.0008317250040591952	0.005768081541691208	z7-8	nircam10
9135	F606W	9709.7617	3431.5325	0.004702283390809796	0.0040180887463078345	z7-8	nircam10
9519	F606W	4432.1802	3557.2095	0.0004593830885794839	0.0028226611560497033	z7-8	nircam10
9681	F606W	964.0814	3641.2505	0.003713348011368357	0.003182878617266931	z7-8	nircam10
10078	F606W	7955.6567	4618.0811	-0.0005180536018988211	0.003913479518643787	z7-8	nircam10
10891	F606W	9190.5293	4621.4019	0.0010042106604200235	0.0030628223980193703	z7-8	nircam10
11520	F606W	6258.7886	4432.3804	-0.0036528667747198575	0.002814815101899244	z7-8	nircam10
11661	F606W	2375.1572	4124.5552	0.0045550156230682644	0.0022273837089748106	z7-8	nircam10
675	F814W	1063.1985	423.542	-0.004841866825593448	0.0027641671214718652	z7-8	nircam10
1081	F814W	3336.532	627.9122	0.004197196232753347	0.0031689944955699415	z7-8	nircam10
1216	F814W	6499.2173	694.8171	0.0003820213504854368	0.0036421208962175767	z7-8	nircam10
1697	F814W	1352.772	908.4111	-0.005920156272746512	0.0036634459152088063	z7-8	nircam10
3712	F814W	2157.7029	1632.9373	0.003062014629598848	0.0029882000237032406	z7-8	nircam10
3742	F814W	2195.3169	1648.1593	0.0018683822655202618	0.003218447584528656	z7-8	nircam10
3979	F814W	1445.8813	1740.2555	0.005315398509391457	0.00301704741676754	z7-8	nircam10
4941	F814W	7562.1401	2034.5925	0.00411736263488132	0.003982260897006713	z7-8	nircam10
5161	F814W	3107.9993	2135.1851	-0.00046604232218379603	0.0030904895440240347	z7-8	nircam10
5850	F814W	6135.9707	2341.9883	0.007617817016993987	0.004389662330171789	z7-8	nircam10
7608	F814W	1746.3938	2904.3247	0.001444591573331962	0.0027763606648128895	z7-8	nircam10
8153	F814W	9664.3301	3078.6394	0.001606861935020948	0.0061498494127309	z7-8	nircam10
8200	F814W	9546.3604	3098.5203	0.001924360256963723	0.008303306353751295	z7-8	nircam10
9135	F814W	9709.7617	3431.5325	0.004538821076153265	0.0053648877363013025	z7-8	nircam10
9519	F814W	4432.1802	3557.2095	-0.0015117179662921042	0.0032858136821934582	z7-8	nircam10
9681	F814W	964.0814	3641.2505	0.005654389622073989	0.004041365936789629	z7-8	nircam10
10078	F814W	7955.6567	4618.0811	0.005056110002699001	0.003788963503002574	z7-8	nircam10
10891	F814W	9190.5293	4621.4019	0.004162253155880462	0.0034320175422785184	z7-8	nircam10
11520	F814W	6258.7886	4432.3804	0.006246072013939861	0.003924797591828267	z7-8	nircam10
11661	F814W	2375.1572	4124.5552	-0.0019624124063074345	0.0025644037747038933	z7-8	nircam10
675	F115W	1063.1985	423.542	-0.0036820360515075227	0.0016039481629285084	z7-8	nircam10
1081	F115W	3336.532	627.9122	0.013683546033919542	0.0017180315250629836	z7-8	nircam10
1216	F115W	6499.2173	694.8171	0.0053997992864321396	0.0015817964875568637	z7-8	nircam10
1697	F115W	1352.772	908.4111	0.0017555634248743648	0.0016968904356226453	z7-8	nircam10
3712	F115W	2157.7029	1632.9373	0.027243002261306423	0.002427089822846831	z7-8	nircam10
3742	F115W	2195.3169	1648.1593	0.005176561398241185	0.002169349428029241	z7-8	nircam10
3979	F115W	1445.8813	1740.2555	-0.000837198136809042	0.0018094321241538377	z7-8	nircam10
4941	F115W	7562.1401	2034.5925	0.04637956850502494	0.0014938357160806583	z7-8	nircam10
5161	F115W	3107.9993	2135.1851	0.001945823500628133	0.001543128637431086	z7-8	nircam10
5850	F115W	6135.9707	2341.9883	0.004412106463567821	0.0018423197250016486	z7-8	nircam10
7608	F115W	1746.3938	2904.3247	0.011597889120602967	0.0014626031553988351	z7-8	nircam10
8153	F115W	9664.3301	3078.6394	0.022604460252512473	0.0021876382791207053	z7-8	nircam10
8200	F115W	9546.3604	3098.5203	0.0325862224371858	0.0029109485232024883	z7-8	nircam10
9135	F115W	9709.7617	3431.5325	0.031965281457286304	0.002445528074155937	z7-8	nircam10
9519	F115W	4432.1802	3557.2095	0.001860112828266324	0.001607812908347184	z7-8	nircam10
9681	F115W	964.0814	3641.2505	0.038672231155778745	0.004284648379653228	z7-8	nircam10
10078	F115W	7955.6567	4618.0811	0.013490068364321555	0.0029567714468540594	z7-8	nircam10
10891	F115W	9190.5293	4621.4019	0.0149675153743718	0.002089218130436004	z7-8	nircam10
11520	F115W	6258.7886	4432.3804	0.0025624977444723518	0.001807333874203726	z7-8	nircam10
11661	F115W	2375.1572	4124.5552	-0.0008638753997487401	0.0018586416643016042	z7-8	nircam10
675	F150W	1063.1985	423.542	0.0008273314272386389	0.001613995849943723	z7-8	nircam10
1081	F150W	3336.532	627.9122	0.01134990170070183	0.0018256177766254348	z7-8	nircam10
1216	F150W	6499.2173	694.8171	0.005472659584269079	0.0017024610401077576	z7-8	nircam10
1697	F150W	1352.772	908.4111	0.002089235380926502	0.0018019783073942189	z7-8	nircam10
3712	F150W	2157.7029	1632.9373	0.02320037047808667	0.0026319615838046625	z7-8	nircam10
3742	F150W	2195.3169	1648.1593	-0.0012917460657808173	0.002805306041780895	z7-8	nircam10
3979	F150W	1445.8813	1740.2555	0.0033738717852601647	0.0019823946133661996	z7-8	nircam10
4941	F150W	7562.1401	2034.5925	0.050658446739632663	0.0020273229543452767	z7-8	nircam10
5161	F150W	3107.9993	2135.1851	0.0027063830051678697	0.0019529647612754315	z7-8	nircam10
5850	F150W	6135.9707	2341.9883	-0.0017383405143355894	0.002032537384462312	z7-8	nircam10
7608	F150W	1746.3938	2904.3247	0.01598653567073976	0.001625448644033114	z7-8	nircam10
8153	F150W	9664.3301	3078.6394	0.024379745109290026	0.002340132848916742	z7-8	nircam10
8200	F150W	9546.3604	3098.5203	0.03383902055714477	0.0034115134356960453	z7-8	nircam10
9135	F150W	9709.7617	3431.5325	0.029278025113789245	0.0038372045557861583	z7-8	nircam10
9519	F150W	4432.1802	3557.2095	0.0015064481198381237	0.001914605159944745	z7-8	nircam10
9681	F150W	964.0814	3641.2505	0.03784567638672531	0.003761300694705913	z7-8	nircam10
10078	F150W	7955.6567	4618.0811	0.019749461072008947	0.0038655867255570813	z7-8	nircam10
10891	F150W	9190.5293	4621.4019	0.011230271436552515	0.002677318808212228	z7-8	nircam10
11520	F150W	6258.7886	4432.3804	0.005669692673955059	0.0022391435108877946	z7-8	nircam10
11661	F150W	2375.1572	4124.5552	-0.0032333039745035255	0.0016739771863443684	z7-8	nircam10
675	F200W	1063.1985	423.542	0.0015228466687392719	0.0014693300990165224	z7-8	nircam10
1081	F200W	3336.532	627.9122	0.009933637372422581	0.0018071987849067406	z7-8	nircam10
1216	F200W	6499.2173	694.8171	0.0054760407793675294	0.0017585513966138248	z7-8	nircam10
1697	F200W	1352.772	908.4111	0.0005394246075910038	0.0015053646861859966	z7-8	nircam10
3712	F200W	2157.7029	1632.9373	0.015623047089752167	0.002204886466916989	z7-8	nircam10
3742	F200W	2195.3169	1648.1593	-0.0006362747731671495	0.0022821636715186816	z7-8	nircam10
3979	F200W	1445.8813	1740.2555	-0.0027100426891132076	0.0015626907802986617	z7-8	nircam10
4941	F200W	7562.1401	2034.5925	0.04429723677879892	0.0016845289154876577	z7-8	nircam10
