NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,REDSHIFT_BIN,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F606W,z7-8,-0.02243287,0.01989233,-1.1277145512868527,-0.02243287,0.0025430568671524554,-8.821222320961633,7.69350776967478,
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F814W,z7-8,0.02609553,0.01603259,1.6276552946217673,0.02609553,0.0045072685718093985,5.7896549948706975,-4.161999700248931,0.2811316556968898
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F115W,z7-8,-0.07187427,0.03779492,-1.901691285495511,-0.07187427,0.0027333993078053473,-26.29482995578426,24.39313867028875,
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F150W,z7-8,0.1752925,0.04478944,3.913701533218544,0.1752925,0.0028017555598501163,62.56523677939181,-58.65153524617327,0.06255393145906973
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F200W,z7-8,-0.007061736,0.03555089,-0.19863738995001248,-0.007061736,0.002335044450598927,-3.0242405013697704,2.825603111419758,
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F277W,z7-8,0.05323901,0.02953175,1.8027719319037987,0.05323901,0.001904456955188612,27.954955797216936,-26.152183865313138,0.06448845582089148
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F356W,z7-8,0.5549479,0.03108234,17.85412230868075,0.5549479,0.0021332166908903487,260.1460519082941,-242.29192959961335,0.06863114845569376
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F410M,z7-8,0.9649878,0.06864672,14.057303830394227,0.9649878,0.003947454109480088,244.45826936468092,-230.40096553428668,0.0575038998145882
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F444W,z7-8,-0.0005963572,0.05495741,-0.010851261003748176,-0.0005963572,0.003988533982848892,-0.14951789368334267,0.1386666326795945,
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F606W,z7-8,-0.04207531,0.01447379,-2.9070001706532977,-0.04207531,0.0026470588825511857,-15.89511675669587,12.988116586042572,
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F814W,z7-8,-0.01759137,0.01166542,-1.5079928540935517,-0.01759137,0.0035948467979161633,-4.893496437789016,3.385503583695465,
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F115W,z7-8,0.3504083,0.02749984,12.742194136402247,0.3504083,0.0025926066249900128,135.15675560743807,-122.41456147103582,0.09427715306670921
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F150W,z7-8,0.4636087,0.0325891,14.225882273520899,0.4636087,0.0031240241177077836,148.40112705025064,-134.17524477672973,0.09586101235406266
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F200W,z7-8,0.2826118,0.02586707,10.9255435578904,0.2826118,0.002605821372162812,108.4540187670018,-97.5284752091114,0.10073894616447909
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F277W,z7-8,0.1626002,0.02148751,7.567196012939609,0.1626002,0.0018357141427841576,88.57599133239258,-81.00879531945297,0.08543168300022466
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F356W,z7-8,0.1535767,0.02261573,6.790702754233448,0.1535767,0.0018499183555713082,83.01809619731628,-76.22739344308283,0.0817978617347885
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F410M,z7-8,0.5290991,0.04994782,10.593036893301852,0.5290991,0.003518949168114279,150.35713070090515,-139.7640938076033,0.07045250759921612
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F444W,z7-8,0.07157905,0.03998739,1.7900405602866305,0.07157905,0.002578968005488574,27.754919738308143,-25.964879178021512,0.06449453203843947
740,2924.134,343.8008,215.0263972,52.981561,0.0,F606W,z7-8,-0.157783,0.06219804,-2.5367841173130214,-0.157783,0.0029059716976857124,-54.296124124559384,51.759340007246365,
