,,SEX_SNR,SEX_SNR,SEX_SNR,NMAD_SNR,NMAD_SNR,NMAD_SNR,SNR_DIFF,SNR_DIFF,SNR_DIFF,SNR_RATIO,SNR_RATIO,SNR_RATIO
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
REDSHIFT_BIN,FILTER,,,,,,,,,,,,
z10-15,F115W,0.669,4.018,200,0.0,0.0,200,0.669,4.018,200,,,0
z10-15,F150W,108.823,795.062,200,0.0,0.0,200,108.823,795.062,200,,,0
z10-15,F200W,893.75,2091.925,200,0.0,0.0,200,893.75,2091.925,200,,,0
z10-15,F277W,1477.347,2745.355,200,0.0,0.0,200,1477.347,2745.355,200,,,0
z10-15,F356W,12.263,42.841,200,0.0,0.0,200,12.263,42.841,200,,,0
z10-15,F410M,1952.285,3260.651,200,0.0,0.0,200,1952.285,3260.651,200,,,0
z10-15,F444W,3158.219,5409.387,200,0.0,0.0,200,3158.219,5409.387,200,,,0
z10-15,F606W,0.646,2.141,200,0.0,0.0,200,0.646,2.141,200,,,0
z10-15,F814W,0.551,2.201,200,0.0,0.0,200,0.551,2.201,200,,,0
z7-8,F115W,18.063,30.243,200,368.525,768.861,200,-350.461,741.276,200,0.084,0.059,169
z7-8,F150W,2443.779,12480.745,200,396.691,771.402,200,2047.087,12123.338,200,9.229,13.982,168
z7-8,F200W,1190.617,3974.055,200,308.955,628.84,200,881.662,3905.869,200,10.655,16.307,172
z7-8,F277W,1985.362,4303.756,200,276.357,474.606,200,1709.005,4213.098,200,14.981,23.094,187
z7-8,F356W,13.821,19.915,200,323.862,581.014,200,-310.041,562.343,200,0.072,0.039,189
z7-8,F410M,2851.244,5957.892,200,266.961,478.827,200,2584.283,5821.259,200,19.426,28.869,189
z7-8,F444W,4548.657,10225.399,200,257.814,510.139,200,4290.843,10001.842,200,29.938,45.049,190
z7-8,F606W,-0.01,2.084,200,-0.094,18.633,200,0.083,16.822,200,0.165,0.076,100
z7-8,F814W,0.573,2.275,200,3.897,16.025,200,-3.324,14.131,200,0.277,0.131,123
z8-10,F115W,8.458,17.607,200,9.305,57.439,200,-0.847,59.121,200,0.085,0.045,16
z8-10,F150W,1116.008,3399.317,200,12.111,71.458,200,1103.898,3377.883,200,24.734,11.517,13
z8-10,F200W,1264.261,3719.702,200,15.111,72.504,200,1249.15,3703.136,200,21.586,9.244,16
z8-10,F277W,1430.455,4773.62,200,11.597,55.766,200,1418.858,4761.014,200,39.155,17.751,20
z8-10,F356W,12.767,25.222,200,14.862,68.265,200,-2.095,71.326,200,0.074,0.028,19
z8-10,F410M,2186.261,3742.566,200,13.936,62.746,200,2172.325,3724.652,200,45.407,17.917,19
z8-10,F444W,3149.592,8129.965,200,16.294,80.196,200,3133.298,8105.157,200,71.368,32.181,19
z8-10,F606W,7.809,103.113,200,0.326,6.84,200,7.483,103.302,200,0.182,0.053,12
z8-10,F814W,19.15,261.974,200,0.255,2.412,200,18.895,261.999,200,0.299,0.104,13
