NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO,REDSHIFT_BIN
675,1063.1985,423.542,214.8868899,52.7793512,0.019,F606W,0.04577471,0.01657012,2.762485123825295,0.00653183,0.00461269,1.4160565743633324,1.3464285494619628,1.950829630565661,redshift_z7-8
675,1063.1985,423.542,214.8868899,52.7793512,0.019,F814W,-0.01122297,0.01127343,-0.9955239887061881,-0.00484187,0.00276417,-1.7516542036126577,0.7561302149064696,,redshift_z7-8
675,1063.1985,423.542,214.8868899,52.7793512,0.019,F115W,-0.1528616,0.02122243,-7.20283209792658,-0.00368204,0.00160395,-2.2956077184450887,-4.907224379481491,,redshift_z7-8
675,1063.1985,423.542,214.8868899,52.7793512,0.019,F150W,-0.002750446,0.02583576,-0.1064588771532171,0.00082733,0.001614,0.5125960346964065,-0.6190549118496236,-0.2076857212059183,redshift_z7-8
675,1063.1985,423.542,214.8868899,52.7793512,0.019,F200W,0.01206577,0.02195111,0.5496655977761489,0.00152285,0.00146933,1.0364247650289589,-0.48675916725281,0.530347803644764,redshift_z7-8
675,1063.1985,423.542,214.8868899,52.7793512,0.019,F277W,0.08045691,0.01975109,4.073542776626506,0.00235337,0.00184392,1.27628638986507,2.797256386761436,3.191715283477374,redshift_z7-8
675,1063.1985,423.542,214.8868899,52.7793512,0.019,F356W,0.3521148,0.01980999,17.77460766007454,0.01214206,0.00128014,9.484946958926368,8.289660701148172,1.8739807124958878,redshift_z7-8
675,1063.1985,423.542,214.8868899,52.7793512,0.019,F410M,0.4221932,0.04432334,9.525302019207036,0.01406955,0.00268912,5.232027577794966,4.29327444141207,1.820575652091931,redshift_z7-8
675,1063.1985,423.542,214.8868899,52.7793512,0.019,F444W,0.2617321,0.03665143,7.141115639962753,0.01214898,0.00220832,5.501458122011303,1.6396575179514503,1.2980405342705763,redshift_z7-8
1081,3336.532,627.9122,214.8644737,52.766014,0.359,F606W,0.04307108,0.0204407,2.1071235329514155,0.00560737,0.00341964,1.6397544770794588,0.46736905587195676,1.2850238022855596,redshift_z7-8
1081,3336.532,627.9122,214.8644737,52.766014,0.359,F814W,0.02139808,0.01390676,1.5386819072163465,0.0041972,0.00316899,1.3244598436725896,0.21422206354375684,1.1617429660605951,redshift_z7-8
1081,3336.532,627.9122,214.8644737,52.766014,0.359,F115W,0.6152709,0.02617973,23.501804640460385,0.01368355,0.00171803,7.9646746564378965,15.537129984022489,2.9507551349211396,redshift_z7-8
1081,3336.532,627.9122,214.8644737,52.766014,0.359,F150W,0.4222631,0.03187068,13.249265469076908,0.0113499,0.00182562,6.217011207151542,7.032254261925366,2.131131025441298,redshift_z7-8
1081,3336.532,627.9122,214.8644737,52.766014,0.359,F200W,0.3905548,0.02707862,14.422994967985812,0.00993364,0.0018072,5.496702080566623,8.926292887419189,2.6239360905110267,redshift_z7-8
1081,3336.532,627.9122,214.8644737,52.766014,0.359,F277W,0.1723351,0.0243647,7.073146806650605,0.00509088,0.0017768,2.865195857721747,4.2079509489288585,2.4686433870090823,redshift_z7-8
1081,3336.532,627.9122,214.8644737,52.766014,0.359,F356W,0.1863018,0.02443736,7.62364674416549,0.00511573,0.00143892,3.5552567203180163,4.068390023847474,2.1443308722537364,redshift_z7-8
1081,3336.532,627.9122,214.8644737,52.766014,0.359,F410M,0.2751745,0.05467674,5.032752501337863,0.00802074,0.0025424,3.1547907488986784,1.8779617524391847,1.5952729996735193,redshift_z7-8
1081,3336.532,627.9122,214.8644737,52.766014,0.359,F444W,0.1750199,0.04521276,3.871028886535571,0.00595633,0.00230231,2.5871103370093516,1.2839185495262195,1.4962751418675109,redshift_z7-8
1216,6499.2173,694.8171,214.8355933,52.74628,0.001,F606W,-0.008834565,0.02978884,-0.2965729783368537,0.00070887,0.00505245,0.14030222961137667,-0.43687520794823037,-2.1138151486140426,redshift_z7-8
1216,6499.2173,694.8171,214.8355933,52.74628,0.001,F814W,0.05171471,0.02026674,2.5517034313362683,0.00038202,0.00364212,0.10488945998484399,2.4468139713514243,24.32754856117075,redshift_z7-8
1216,6499.2173,694.8171,214.8355933,52.74628,0.001,F115W,0.1978262,0.03815249,5.185145189737289,0.0053998,0.0015818,3.4137059046655707,1.7714392850717187,1.518919712049788,redshift_z7-8
1216,6499.2173,694.8171,214.8355933,52.74628,0.001,F150W,0.3432274,0.04644608,7.389803402138566,0.00547266,0.00170246,3.214560107139081,4.175243294999484,2.298853701857017,redshift_z7-8
1216,6499.2173,694.8171,214.8355933,52.74628,0.001,F200W,0.2533363,0.03946248,6.419675093911989,0.00547604,0.00175855,3.1139518353188707,3.3057232585931184,2.0615845823622414,redshift_z7-8
1216,6499.2173,694.8171,214.8355933,52.74628,0.001,F277W,0.2498373,0.03550741,7.036201739298924,0.00716054,0.00170527,4.199065250664118,2.8371364886348056,1.6756590620224556,redshift_z7-8
1216,6499.2173,694.8171,214.8355933,52.74628,0.001,F356W,0.4976541,0.03561329,13.973831117540671,0.0101078,0.00168732,5.990446388355499,7.983384729185172,2.332686115796585,redshift_z7-8
1216,6499.2173,694.8171,214.8355933,52.74628,0.001,F410M,0.6652147,0.07968203,8.348365371715555,0.01970086,0.00317957,6.196076827998755,2.152288543716801,1.3473631143485933,redshift_z7-8
1216,6499.2173,694.8171,214.8355933,52.74628,0.001,F444W,0.6565641,0.06588989,9.964565125241519,0.01911746,0.00219981,8.690505089075874,1.2740600361656451,1.1466036810411817,redshift_z7-8
1697,1352.772,908.4111,214.8792161,52.7801279,0.347,F606W,-0.06573694,0.01595847,-4.119250780306634,-0.00242424,0.00401335,-0.6040440031395219,-3.5152067771671116,,redshift_z7-8
1697,1352.772,908.4111,214.8792161,52.7801279,0.347,F814W,-0.01303905,0.01085729,-1.2009488555615628,-0.00592016,0.00366345,-1.6160067695751272,0.4150579140135644,,redshift_z7-8
1697,1352.772,908.4111,214.8792161,52.7801279,0.347,F115W,0.06307804,0.02043904,3.086154731337676,0.00175556,0.00169689,1.0345750166481034,2.0515797146895727,2.9830168732823648,redshift_z7-8
1697,1352.772,908.4111,214.8792161,52.7801279,0.347,F150W,0.07232551,0.02488208,2.906730868158932,0.00208924,0.00180198,1.1594135340014873,1.7473173341574446,2.5070699822926192,redshift_z7-8
1697,1352.772,908.4111,214.8792161,52.7801279,0.347,F200W,0.02352584,0.02114082,1.1128158699615245,0.00053942,0.00150536,0.3583328904713822,0.7544829794901422,3.1055364984711,redshift_z7-8
1697,1352.772,908.4111,214.8792161,52.7801279,0.347,F277W,-0.05147722,0.01902201,-2.706192458105111,-0.00103906,0.00183451,-0.566396476443301,-2.13979598166181,,redshift_z7-8
1697,1352.772,908.4111,214.8792161,52.7801279,0.347,F356W,0.1260279,0.01907874,6.605672072684045,0.00464133,0.00148034,3.13531350905873,3.470358563625315,2.1068617392163667,redshift_z7-8
1697,1352.772,908.4111,214.8792161,52.7801279,0.347,F410M,0.2899824,0.04268723,6.793188501572953,0.01028045,0.00275787,3.7276775192449247,3.065510982328028,1.8223648549268756,redshift_z7-8
1697,1352.772,908.4111,214.8792161,52.7801279,0.347,F444W,0.3918974,0.03529851,11.102377975727588,0.01300968,0.0021784,5.972126331252295,5.130251644475293,1.8590326727732718,redshift_z7-8
3712,2157.7029,1632.9373,214.8644297,52.7789231,0.0,F606W,-0.06087412,0.03903916,-1.5593091654636009,0.00192998,0.00311257,0.6200599504589456,-2.1793691159225466,-2.5147716189530667,redshift_z7-8
3712,2157.7029,1632.9373,214.8644297,52.7789231,0.0,F814W,-0.005894958,0.02656017,-0.22194729928309945,0.00306201,0.0029882,1.0247004885884479,-1.2466477878715474,-0.21659724158894247,redshift_z7-8
3712,2157.7029,1632.9373,214.8644297,52.7789231,0.0,F115W,3.740668,0.04999999,74.81337496267498,0.027243,0.00242709,11.224552859597296,63.58882210307769,6.665154140078509,redshift_z7-8
3712,2157.7029,1632.9373,214.8644297,52.7789231,0.0,F150W,3.297702,0.06086898,54.17705373081658,0.02320037,0.00263196,8.814864207662731,45.36218952315385,6.146101908605767,redshift_z7-8
3712,2157.7029,1632.9373,214.8644297,52.7789231,0.0,F200W,2.363874,0.05171676,45.708083801073386,0.01562305,0.00220489,7.085636925198082,38.622446875875305,6.450808061943648,redshift_z7-8
3712,2157.7029,1632.9373,214.8644297,52.7789231,0.0,F277W,0.7539611,0.04653352,16.202537439677894,0.00447431,0.00255072,1.7541360870656129,14.448401352612281,9.236761936060576,redshift_z7-8
3712,2157.7029,1632.9373,214.8644297,52.7789231,0.0,F356W,0.5508681,0.04667228,11.80289670871018,0.01075364,0.00166309,6.466060165114335,5.336836543595846,1.8253614113257293,redshift_z7-8
3712,2157.7029,1632.9373,214.8644297,52.7789231,0.0,F410M,0.3250259,0.1044257,3.1125087023596683,0.00982581,0.00342702,2.8671586392842765,0.24535006307539176,1.0855725454858816,redshift_z7-8
3712,2157.7029,1632.9373,214.8644297,52.7789231,0.0,F444W,0.2261126,0.08635069,2.618538427428895,0.01334884,0.0033272,4.0120341428227935,-1.3934957153938985,0.6526710227811121,redshift_z7-8
3742,2195.3169,1648.1593,214.8639344,52.7787663,0.167,F606W,0.05071267,0.02082641,2.435017364970727,0.00252642,0.00299851,0.842558470707118,1.592458894263609,2.8900277543078245,redshift_z7-8
3742,2195.3169,1648.1593,214.8639344,52.7787663,0.167,F814W,0.04099645,0.01416918,2.893353743829918,0.00186838,0.00321845,0.5805216796905343,2.312832064139384,4.984058037888117,redshift_z7-8
3742,2195.3169,1648.1593,214.8639344,52.7787663,0.167,F115W,0.2359032,0.02667373,8.844027438232299,0.00517656,0.00216935,2.3862262889805703,6.457801149251729,3.7062819561889047,redshift_z7-8
3742,2195.3169,1648.1593,214.8639344,52.7787663,0.167,F150W,0.0241463,0.03247207,0.7436021171425167,-0.00129175,0.00280531,-0.46046604475084746,1.2040681618933642,,redshift_z7-8
3742,2195.3169,1648.1593,214.8639344,52.7787663,0.167,F200W,-0.1036106,0.02758958,-3.755425055401351,-0.00063627,0.00228216,-0.27880166158376274,-3.4766233938175883,,redshift_z7-8
3742,2195.3169,1648.1593,214.8639344,52.7787663,0.167,F277W,0.1512523,0.02482446,6.0928737221272895,0.0033464,0.00267542,1.2507942678158943,4.842079454311396,4.871203745414115,redshift_z7-8
3742,2195.3169,1648.1593,214.8639344,52.7787663,0.167,F356W,0.2976613,0.02489849,11.954994057872588,0.00749671,0.00177708,4.218555157899476,7.736438899973112,2.8339072526967453,redshift_z7-8
3742,2195.3169,1648.1593,214.8639344,52.7787663,0.167,F410M,0.4161268,0.05570847,7.469722288190646,0.01614192,0.00287896,5.6068580320671355,1.862864256123511,1.3322474450876565,redshift_z7-8
3742,2195.3169,1648.1593,214.8639344,52.7787663,0.167,F444W,0.4517863,0.04606591,9.80738902151287,0.01076348,0.00286157,3.7613897266186047,6.045999294894266,2.607384433500186,redshift_z7-8
3979,1445.8813,1740.2555,214.86965,52.7840237,0.35,F606W,-0.006317269,0.01506047,-0.4194602824480246,-0.00102042,0.00324773,-0.3141948376250489,-0.10526544482297567,,redshift_z7-8
3979,1445.8813,1740.2555,214.86965,52.7840237,0.35,F814W,0.02243677,0.01024634,2.1897350663749204,0.0053154,0.00301705,1.761787176215177,0.4279478901597433,1.2429055540517089,redshift_z7-8
3979,1445.8813,1740.2555,214.86965,52.7840237,0.35,F115W,-0.06138948,0.01928892,-3.1826291985243342,-0.0008372,0.00180943,-0.46268714457038956,-2.7199420539539445,,redshift_z7-8
3979,1445.8813,1740.2555,214.86965,52.7840237,0.35,F150W,0.06207497,0.02348195,2.6435185323195047,0.00337387,0.00198239,1.7019204092030327,0.9415981231164721,1.553256261588284,redshift_z7-8
3979,1445.8813,1740.2555,214.86965,52.7840237,0.35,F200W,-0.09935693,0.01995122,-4.979992702200668,-0.00271004,0.00156269,-1.7342147194901099,-3.2457779827105577,,redshift_z7-8
3979,1445.8813,1740.2555,214.86965,52.7840237,0.35,F277W,0.002662052,0.01795163,0.14829026667773343,0.0025991,0.001848,1.406439393939394,-1.2581491272616605,0.10543665608112476,redshift_z7-8
3979,1445.8813,1740.2555,214.86965,52.7840237,0.35,F356W,0.0813331,0.01800517,4.5172081130030985,0.0044347,0.00183748,2.4134684459150573,2.1037396670880413,1.871666530651664,redshift_z7-8
3979,1445.8813,1740.2555,214.86965,52.7840237,0.35,F410M,0.3446765,0.04028518,8.555913117429288,0.01341083,0.00334148,4.013440152267857,4.542472965161431,2.131815298801612,redshift_z7-8
3979,1445.8813,1740.2555,214.86965,52.7840237,0.35,F444W,0.2033844,0.03331224,6.105395494268773,0.00745403,0.00389124,1.915592458959098,4.189803035309675,3.1872100277458526,redshift_z7-8
4941,7562.1401,2034.5925,214.8120626,52.7467456,0.001,F606W,-0.01768547,0.04093004,-0.43209022028808175,-0.00136599,0.00319829,-0.42710010661947484,-0.00499011366860691,,redshift_z7-8
4941,7562.1401,2034.5925,214.8120626,52.7467456,0.001,F814W,0.01667625,0.02784662,0.5988608312247591,0.00411736,0.00398226,1.0339254594124945,-0.4350646281877354,0.5792108374669956,redshift_z7-8
4941,7562.1401,2034.5925,214.8120626,52.7467456,0.001,F115W,2.720806,0.05242175,51.90223523632843,0.04637957,0.00149384,31.047213891715312,20.855021344613117,1.6717195757838388,redshift_z7-8
4941,7562.1401,2034.5925,214.8120626,52.7467456,0.001,F150W,3.21966,0.0638172,50.45128899418965,0.05065845,0.00202732,24.987890416905078,25.463398577284575,2.019029544008957,redshift_z7-8
4941,7562.1401,2034.5925,214.8120626,52.7467456,0.001,F200W,2.655802,0.05422168,48.98044472248001,0.04429724,0.00168453,26.296498133010395,22.683946589469613,1.8626223337697618,redshift_z7-8
