,,SEX_SNR,SEX_SNR,SEX_SNR,NMAD_SNR,NMAD_SNR,NMAD_SNR,SNR_DIFF,SNR_DIFF,SNR_DIFF,SNR_RATIO,SNR_RATIO,SNR_RATIO
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
FILTER,redshift_bin,,,,,,,,,,,,
F115W,redshift_z10-15,0.492,3.088,40,0.032,0.805,40,0.46,2.744,40,1.953,10.048,24
F115W,redshift_z7-8,18.063,30.243,200,3.948,4.924,200,14.116,27.527,200,3.478,12.608,169
F115W,redshift_z8-10,8.458,17.607,200,2.225,4.261,200,6.233,14.739,200,6.829,64.364,181
F150W,redshift_z10-15,4.656,9.2,40,1.048,1.891,40,3.609,7.599,40,4.896,8.387,35
F150W,redshift_z7-8,2443.779,12480.745,200,4.544,9.471,200,2439.235,12472.559,200,-439.805,10944.96,168
F150W,redshift_z8-10,1116.008,3399.317,200,4.214,6.856,200,1111.794,3395.618,200,169.365,2359.876,169
F200W,redshift_z10-15,13.109,14.826,40,3.34,3.556,40,9.77,11.714,40,8.057,18.022,34
F200W,redshift_z7-8,1190.617,3974.055,200,3.216,4.439,200,1187.401,3973.179,200,510.451,1289.224,170
F200W,redshift_z8-10,1264.261,3719.702,200,3.942,6.755,200,1260.319,3715.721,200,329.881,1185.137,172
F277W,redshift_z10-15,13.078,16.564,40,3.705,3.7,40,9.373,13.6,40,4.055,4.549,37
F277W,redshift_z7-8,1985.362,4303.756,200,3.823,5.01,200,1981.54,4302.443,200,813.036,2810.368,189
F277W,redshift_z8-10,1430.455,4773.62,200,3.617,7.05,200,1426.837,4768.97,200,543.231,2438.819,174
F356W,redshift_z10-15,10.705,11.996,40,3.623,3.394,40,7.082,9.522,40,3.358,3.549,37
F356W,redshift_z7-8,13.821,19.915,200,5.843,11.359,200,7.978,11.004,200,2.999,2.984,188
F356W,redshift_z8-10,12.767,25.222,200,5.024,10.058,200,7.744,16.484,200,2.969,3.13,185
F410M,redshift_z10-15,7.083,6.474,40,3.185,2.725,40,3.898,4.817,40,3.336,4.653,35
F410M,redshift_z7-8,2851.244,5957.892,200,6.418,11.82,200,2844.826,5954.603,200,612.333,915.835,185
F410M,redshift_z8-10,2186.261,3742.566,200,4.655,7.97,200,2181.606,3741.434,200,691.145,1150.361,191
F444W,redshift_z10-15,7.345,5.323,40,3.368,2.262,40,3.977,4.339,40,3.082,3.892,38
F444W,redshift_z7-8,4548.657,10225.399,200,5.833,11.29,200,4542.824,10221.743,200,1810.771,10859.102,187
F444W,redshift_z8-10,3149.592,8129.965,200,4.414,9.029,200,3145.178,8125.977,200,924.617,1543.141,186
F606W,redshift_z10-15,0.947,1.972,40,0.443,1.401,40,0.504,1.251,40,1.99,3.187,22
F606W,redshift_z7-8,-0.01,2.084,200,0.168,1.188,200,-0.178,1.533,200,0.951,5.863,126
F606W,redshift_z8-10,7.809,103.113,200,0.318,1.326,200,7.49,102.907,200,5.269,43.489,124
F814W,redshift_z10-15,0.913,2.289,40,0.335,1.272,40,0.577,1.416,40,3.188,3.422,28
F814W,redshift_z7-8,0.573,2.275,200,0.265,1.096,200,0.308,1.861,200,2.223,6.322,130
F814W,redshift_z8-10,19.15,261.974,200,0.467,1.284,200,18.684,261.929,200,27.238,306.074,138
