pointing	ID	F115W-F150W	F150W-F277W	Required_F115W-F150W	Passes_Cut3	Cut3_Margin
nircam1	2858	0.948	-0.316	1.213	False	-0.265
nircam1	4010	1.956	-0.531	1.118	True	0.837
nircam1	6802	1.089	-0.256	1.239	False	-0.150
nircam1	8216	4.466	0.306	1.486	True	2.980
nircam1	11572	1.452	-0.658	1.062	True	0.389
nircam1	10899	2.345	-0.128	1.296	True	1.049
nircam1	8272	-1.977	2.016	2.239	False	-4.216
nircam2	1332	0.709	-0.487	1.138	False	-0.429
nircam2	2034	1.000	0.115	1.403	False	-0.403
nircam2	5726	1.785	-0.552	1.109	True	0.676
nircam2	11316	0.530	0.371	1.515	False	-0.985
nircam3	9992	1.829	-0.090	1.313	True	0.516
nircam4	315	1.312	-0.647	1.067	True	0.245
nircam4	1669	1.382	-1.043	0.893	True	0.489
nircam4	1843	1.052	-0.450	1.154	False	-0.102
nircam4	9859	0.312	-0.430	1.163	False	-0.851
nircam4	9427	0.685	-0.150	1.286	False	-0.601
nircam4	12415	2.153	-0.020	1.343	True	0.810
nircam4	11659	2.166	-0.014	1.346	True	0.820
nircam5	4547	1.816	-0.728	1.032	True	0.785
nircam5	9883	1.838	-0.179	1.273	True	0.565
nircam5	12083	1.308	0.140	1.414	False	-0.106
nircam5	12779	1.982	-0.452	1.153	True	0.828
nircam5	12888	0.834	-0.195	1.266	False	-0.432
nircam6	3206	0.729	-0.424	1.165	False	-0.437
nircam7	7070	0.977	-0.850	0.978	False	-0.001
nircam7	9437	70.600	0.237	1.456	True	69.144
nircam7	9959	1.001	-0.985	0.919	True	0.082
nircam7	11615	0.748	0.039	1.369	False	-0.621
nircam7	11754	1.167	-0.539	1.115	True	0.052
nircam7	3581	0.209	0.250	1.462	False	-1.253
nircam7	13394	0.979	-0.426	1.164	False	-0.185
nircam7	13743	1.103	0.268	1.470	False	-0.366
nircam7	14097	1.398	-0.117	1.300	True	0.098
nircam7	14208	71.686	-0.554	1.108	True	70.578
nircam8	1398	1.253	-0.027	1.340	False	-0.087
nircam8	2080	2.456	-0.196	1.266	True	1.190
nircam8	2288	0.704	-0.409	1.172	False	-0.469
nircam8	4493	0.758	-0.143	1.289	False	-0.531
nircam8	6986	1.327	-0.887	0.962	True	0.365
nircam8	8954	5.267	-0.273	1.232	True	4.035
nircam8	9454	2.194	-0.273	1.232	True	0.962
nircam8	11712	3.259	0.204	1.442	True	1.818
nircam8	14604	0.736	-0.562	1.105	False	-0.368
nircam9	2646	6.475	-0.086	1.314	True	5.161
nircam9	3096	1.433	-0.635	1.072	True	0.361
nircam9	5572	1.538	0.990	1.787	False	-0.250
nircam9	9061	0.656	0.504	1.574	False	-0.918
nircam9	8076	-2.321	-64.626	-27.084	True	24.762
nircam10	1424	1.245	-0.710	1.040	True	0.205
nircam10	1935	1.052	-0.548	1.111	False	-0.059
nircam10	7847	0.690	-0.940	0.938	False	-0.248
nircam10	9562	1.549	-0.427	1.164	True	0.385
nircam10	10415	1.036	-0.616	1.081	False	-0.045
