NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO,pointing
2858,3125.9597,1226.3113,215.0152899,52.9850532,0.0,F606W,-0.05884608,0.03093015,-1.9025475143185533,-0.0005685228146394358,0.0022212570428632073,-0.25594643198366995,-1.6466010823348833,,nircam1
2858,3125.9597,1226.3113,215.0152899,52.9850532,0.0,F814W,0.08369953,0.02492873,3.3575529118410765,0.008041057741750644,0.0026923625874482734,2.9866176937823505,0.370935218058726,1.1241990961317052,nircam1
2858,3125.9597,1226.3113,215.0152899,52.9850532,0.0,F115W,0.7253562,0.0587665,12.343021959790017,0.01059318548057993,0.0017386849476952468,6.092642312583408,6.250379647206609,2.0258898071691194,nircam1
2858,3125.9597,1226.3113,215.0152899,52.9850532,0.0,F150W,1.737546,0.06964213,24.949638961358595,0.027663966684990462,0.002021773907603267,13.68301696888798,11.266621992470615,1.8234018870318083,nircam1
2858,3125.9597,1226.3113,215.0152899,52.9850532,0.0,F200W,1.331934,0.05527732,24.095487986754783,0.02302912856239317,0.0017372922751591508,13.255759489452347,10.839728497302437,1.817737264011741,nircam1
2858,3125.9597,1226.3113,215.0152899,52.9850532,0.0,F277W,1.298759,0.04591829,28.2841325319388,0.02342626784169059,0.0012704855184644522,18.43883106200557,9.84530146993323,1.5339439054908488,nircam1
2858,3125.9597,1226.3113,215.0152899,52.9850532,0.0,F356W,1.134135,0.04832926,23.46683975711608,0.02556302423622833,0.0013094862183110198,19.521415253380532,3.9454245037355484,1.2021075036069588,nircam1
2858,3125.9597,1226.3113,215.0152899,52.9850532,0.0,F410M,0.4837749,0.1067373,4.532388396558654,0.016476347534878664,0.002368064339963577,6.9577279877167895,-2.425339591158135,0.6514178772955995,nircam1
2858,3125.9597,1226.3113,215.0152899,52.9850532,0.0,F444W,1.970893,0.08545209,23.064304220060624,0.032472979724397756,0.002280092999080751,14.241954050773218,8.822350169287406,1.6194620582144363,nircam1
4010,2997.0005,1676.2458,215.0117085,52.9883035,0.013,F606W,-0.07219249,0.02474224,-2.917783110987526,-0.00262788468467419,0.002346320077336458,-1.1200026416077744,-1.7977804693797514,,nircam1
4010,2997.0005,1676.2458,215.0117085,52.9883035,0.013,F814W,-0.03043986,0.01994146,-1.5264609512041745,-0.0017325490426969973,0.003123665040288122,-0.554652634117642,-0.9718083170865325,,nircam1
4010,2997.0005,1676.2458,215.0117085,52.9883035,0.013,F115W,0.5341111,0.04700963,11.361738009850322,0.01719192151914247,0.0019552397523640397,8.792743446606012,2.56899456324431,1.2921721279421543,nircam1
4010,2997.0005,1676.2458,215.0117085,52.9883035,0.013,F150W,3.235657,0.05570947,58.080915147819574,0.07049311604967871,0.0023996567247532357,29.376333424076623,28.70458172374295,1.977132895020074,nircam1
4010,2997.0005,1676.2458,215.0117085,52.9883035,0.013,F200W,3.225579,0.04421849,72.94638509817952,0.06761552907757833,0.0018259115264908196,37.031109172922065,35.915275925257454,1.9698676795649284,nircam1
4010,2997.0005,1676.2458,215.0117085,52.9883035,0.013,F277W,1.984212,0.03673184,54.01885666495335,0.05271670435839914,0.0015085392931345899,34.94552949221444,19.073327172738907,1.5458016361431375,nircam1
4010,2997.0005,1676.2458,215.0117085,52.9883035,0.013,F356W,2.184614,0.03866047,56.50769377609738,0.050761567736757204,0.0013488573248899573,37.63301484899334,18.874678927104043,1.5015457571720148,nircam1
4010,2997.0005,1676.2458,215.0117085,52.9883035,0.013,F410M,1.653698,0.08538336,19.367918994989186,0.046260450456770214,0.003067776291759287,15.07947322659603,4.2884457683931565,1.2843896271409216,nircam1
4010,2997.0005,1676.2458,215.0117085,52.9883035,0.013,F444W,2.740378,0.06835648,40.08951309371109,0.06604533870779053,0.0023506990407376536,28.09604188508342,11.993471208627671,1.426874050717983,nircam1
6802,3709.8647,2711.4863,214.9944002,52.9893786,0.009,F606W,-0.04545043,0.02771521,-1.6399092772524544,0.0005864447064977016,0.0023192949590982235,0.25285473251134905,-1.8927640097638034,-6.485578739084305,nircam1
6802,3709.8647,2711.4863,214.9944002,52.9893786,0.009,F814W,0.03800333,0.02233758,1.7013181374168556,0.0019081436604508706,0.003186146480524497,0.5988876130192093,1.1024305243976462,2.840797005033874,nircam1
6802,3709.8647,2711.4863,214.9944002,52.9893786,0.009,F115W,0.7103781,0.05265819,13.490363037544586,0.014695985011876831,0.002253183007972093,6.5223219595923965,6.96804107795219,2.068337491022545,nircam1
6802,3709.8647,2711.4863,214.9944002,52.9893786,0.009,F150W,1.9377,0.06240338,31.051202675239704,0.044388128620343005,0.0016461780459468046,26.964354633227433,4.086848042012271,1.1515648380093682,nircam1
6802,3709.8647,2711.4863,214.9944002,52.9893786,0.009,F200W,2.135673,0.04953168,43.11731400994273,0.041491636348665685,0.0020483477336658952,20.256148732329137,22.861165277613594,2.1286037429774005,nircam1
