,SEX_SNR,SEX_SNR,SEX_SNR,NMAD_SNR,NMAD_SNR,NMAD_SNR,SNR_DIFF,SNR_DIFF,SNR_DIFF,SNR_RATIO,SNR_RATIO,SNR_RATIO
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
FILTER,,,,,,,,,,,,
F115W,11.181,10.82,54,6.429,6.363,54,4.752,6.573,54,1.862,1.364,54
F150W,4652.181,6279.513,54,13.495,10.532,54,4638.686,6272.279,54,347.686,359.907,53
F200W,5552.357,7736.236,54,13.682,10.749,54,5538.675,7728.319,54,395.823,396.88,54
F277W,7453.619,10429.693,54,14.598,10.902,54,7439.022,10421.725,54,471.38,474.362,53
F356W,29.697,17.672,54,18.059,11.992,54,11.638,7.458,54,1.748,0.469,53
F410M,6271.293,8006.898,54,10.7,8.212,54,6260.592,8004.106,54,631.766,712.792,54
F444W,13773.452,19566.575,54,19.039,19.644,54,13754.413,19557.653,54,719.76,723.195,53
F606W,1.052,3.087,54,1.034,2.063,54,0.019,1.878,54,0.8,2.387,39
F814W,1.956,2.638,54,1.145,2.485,54,0.811,2.398,54,3.407,11.031,41
