source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W
7549	10419.7012	2566.0173	0.128	29.8034	0.0826	0.02379995723792402	0.001811011406670056	13.141804159966883	0.003284853169346028																																																
17696	4438.397	5801.7588	0.347	99.0	99.0	-0.003205908156720015	0.00181378342960576	-1.7675253309690033	0.002658779624397614																																																
6331	3319.4812	2285.8303	0.023	99.0	99.0	-0.004235342143366931	0.0018133218114290718	-2.3356814640800434	0.0030049947294829267																																																
4868	4047.009	1850.4846	0.348	31.7135	0.4803	0.0040973287209771095	0.0018119357999612196	2.261299059858966	0.002877546776569262																																																
9878	4005.5801	3205.2529	0.019	99.0	99.0	-0.0003540729422855896	0.0018128601932523832	-0.19531177506322805	0.002474050482244552																																																
11653	1386.3727	3638.5869	0.348	32.2048	0.7557	0.0026060509547732686	0.0018133218114290718	1.4371695847630324	0.0024110250337435416																																																
11044	1044.7977	3496.009	0.35	31.6432	0.4493	0.004371555370561445	0.001808697531097682	2.416963198876259	0.002391061533222106																																																
5082	3926.5398	1902.9088	0.348	31.1859	0.296	0.006661260198706453	0.0018156299023125147	3.6688425268950464	0.0031456938330159372																																																
16014	1276.0688	5075.2979	0.778	29.1858	0.0469	0.04203470821233052	0.0018165519817281062	23.139832294995728	0.002448034782903917																																																
9263	3936.6321	3073.2009	0.019	99.0	99.0	-0.0037637916557838975	0.0018123985750756943	-2.0766909153118838	0.0028660560479962603																																																
8303	712.727	2793.9492	0.353	99.0	99.0	-0.0010315204082505251	0.00181378342960576	-0.5687120035464951	0.0021747100397988255																																																
6693	3861.5759	2383.2429	0.021	99.0	99.0	-0.0017547923288258706	0.0018147078228969234	-0.9669833935165353	0.002547944785158709																																																
2664	1965.7203	1303.0452	0.019	99.0	99.0	-0.002224893173362812	0.0018128601932523832	-1.2272833733368131	0.0025985142727591864																																																
15433	7943.7153	4868.4385	0.357	30.6523	0.1808	0.010889055636894088	0.0018128601932523832	6.006561166395545	0.0020090337585707708																																																
4104	2534.5669	1686.1637	0.347	99.0	99.0	-0.0022827365918588046	0.00181378342960576	-1.2585497003658122	0.002925115667437958																																																
12443	3733.1074	3811.0747	0.02	99.0	99.0	-0.0010245014980892859	0.0018174740611436972	-0.5636952515540107	0.0025871639045397764																																																
16137	10071.1602	5131.562	0.347	31.8992	0.5708	0.003453408386505645	0.0018151682841358258	1.9025279455837125	0.0021109680586061646																																																
1568	4235.3398	919.1464	0.347	32.3036	0.8282	0.0023795537735580782	0.0018147078228969234	1.3112599965318155	0.0034734298239216597																																																
675	4330.8091	642.9651	0.214	28.7364	0.031	0.06358744106374274	0.0018128601932523832	35.07575559352039	0.003468984001651566																																																
14150	3599.4219	4406.5742	0.353	29.9532	0.095	0.020731804506467503	0.0018128601932523832	11.435964330637855	0.002486469745454368																																																
12359	4215.46	3792.9021	0.019	99.0	99.0	-0.0030831454882277115	0.0018151682841358258	-1.6985452617113959	0.002428286399915218																																																
2180	10890.1367	1150.2371	0.348	31.4641	0.382	0.005155665327398549	0.0018133218114290718	2.8432158566136634	0.003652321558125243																																																
16763	4529.3633	5434.5894	0.347	99.0	99.0	-0.003980939622748909	0.0018128601932523832	-2.1959440874515854	0.0022003499160310994																																																
16291	6836.8384	5198.9761	0.019	33.7767	3.215	0.0006126727174981186	0.00181378342960576	0.33778714012801836	0.001787009495632182																																																
6456	7806.7539	2321.4763	0.001	26.9374	0.0059	0.33339915820909927	0.0018133218114290718	183.8609981459103	0.0024558569535055273																																																
5146	7636.1973	1920.3549	0.36	99.0	99.0	-0.0016043140587276704	0.0018133218114290718	-0.8847376392959818	0.004474954236765212																																																
6838	2753.5359	2428.5022	0.348	34.3273	5.3453	0.0003689729126463349	0.0018160915204892033	0.20316867761540128	0.0027347741957227806																																																
479	9794.1348	547.124	0.347	99.0	99.0	-0.008392941538315452	0.0018156299023125147	-4.6226059218487245	0.0036293722939929256																																																
9747	3765.2212	3175.4236	0.037	99.0	99.0	-0.001735389325213728	0.0018133218114290718	-0.9570222529039534	0.0026674351632946514																																																
17074	6995.729	5557.0288	0.093	99.0	99.0	-0.004219168153116036	0.0018133218114290718	-2.3267619274876123	0.0024367448214370983																																																
6135	1844.6792	2222.7234	0.376	30.8754	0.2224	0.008866601123482705	0.0018160915204892033	4.882243556257724	0.0026527064126131168																																																
11709	765.9985	3651.699	0.36	31.2538	0.3142	0.00625772145582221	0.0018105486315555814	3.456257040964274	0.002450711971312084																																																
17311	6516.3652	5884.4556	0.347	32.4961	0.9884	0.001992897066849875	0.00181378342960576	1.0987513913295848	0.003039597999593907																																																
4073	2410.113	1678.8936	0.347	36.8177	53.0341	3.7226532619826586e-05	0.0018179345223825994	0.02047737812417864	0.0027483734232037144																																																
11574	3509.9099	3608.2019	0.351	30.2069	0.1199	0.016412261587959668	0.001811474181784531	9.060168647720674	0.00298703349941865																																																
15495	9278.2842	4900.0649	0.361	31.3809	0.3543	0.005566008021403358	0.0018160915204892033	3.064827933288315	0.0023794987635360563																																																
3289	1269.1039	1492.8912	0.359	30.6518	0.1812	0.010893984191863243	0.0018179345223825994	5.9925063624324055	0.002320500887123596																																																
1760	1221.7546	981.968	0.351	99.0	99.0	-0.003366110488911117	0.0018147078228969234	-1.8549049309423264	0.0024886477231196745																																																
87	1205.6902	316.0708	0.347	99.0	99.0	-0.0010321159998228542	0.0018174740611436972	-0.5678848583805184	0.002562505428695888																																																
10598	647.8559	3386.1409	0.403	29.5562	0.066	0.029883170825828927	0.0018151682841358258	16.463030500808827	0.0028648407089108957																																																
11378	3798.5085	3575.2063	0.019	32.6762	1.1649	0.0016883285668849988	0.001811011406670056	0.9322572793670931	0.0025394773838727366																																																
9714	3043.2324	3169.5652	0.347	99.0	99.0	-0.0012205739921784446	0.001814246204720235	-0.6727719694288475	0.002956953858297298																																																
6680	7940.748	2354.7158	0.368	30.5424	0.1635	0.012048997990511828	0.001814246204720235	6.641324622404178	0.0022001679916055046																																																
12568	4063.0935	3846.1675	0.347	99.0	99.0	-0.0003537842863079359	0.0018119357999612196	-0.19525210899608467	0.0024003502420938978																																																
6394	4251.3052	2297.8862	0.346	99.0	99.0	-0.004103000030004998	0.0018179345223825994	-2.2569569912933796	0.0028895923317065453																																																
10329	3797.6487	3284.416	0.364	30.9761	0.2438	0.00808103226809722	0.001814246204720235	4.454209272739448	0.0024158196788492555																																																
2650	2317.2202	1291.3547	0.359	30.9435	0.2367	0.008327401012727957	0.0018147078228969234	4.588838438704939	0.0035676637206041384																																																
6710	2700.9082	2374.4048	0.357	30.7435	0.1964	0.010012372146157442	0.001811011406670056	5.528607997322003	0.0029357011397448435																																																
7131	1448.192	2499.4299	0.346	33.2058	1.8998	0.001036574838050819	0.0018133218114290718	0.5716441679118713	0.0020823472155132596																																																
5945	1424.4277	2131.1709	0.349	31.2583	0.3159	0.006231742417833381	0.0018128601932523832	3.437519584261625	0.0019307203902293234																																																
7194	2463.6255	2508.9634	0.019	99.0	99.0	-0.00034798259039154397	0.00181378342960576	-0.1918545426711615	0.002712383105023235																																																
5843	7590.9536	2113.8467	0.354	99.0	99.0	-0.0010696772576829806	0.00181378342960576	-0.589749162012955	0.00362928061570832																																																
7454	3600.438	2540.5193	0.456	29.2059	0.0477	0.04126425706299713	0.0018123985750756943	22.76776070698121	0.0027796474573897885																																																
411	2600.9685	500.4738	0.363	32.3243	0.8437	0.002334582444871203	0.00181378342960576	1.2871340683593313	0.0034259449053711606																																																
4365	2908.8015	1721.0918	0.36	31.6717	0.4619	0.004258320084738391	0.001811011406670056	2.351349124061152	0.004139954256466597																																																
15573	3854.4663	5001.2129	0.509	27.7151	0.0121	0.16288388259192624	0.0018123985750756943	89.87199881522939	0.0026655949985826305																																																
9643	1878.9435	3147.1658	0.447	31.0794	0.2681	0.0073475209853390054	0.00181378342960576	4.050936217305749	0.0032054337152357753	30.223	0.1466	0.004560720417075452	0.000615589187619477	7.408707801889848	0.001441143831709825																																										
8097	3779.8765	2732.7483	0.356	99.0	99.0	-0.0027669856285830272	0.0018133218114290718	-1.525920887921365	0.002387414556547941																																																
8634	605.3097	2887.8604	0.347	32.5962	1.085	0.001817338699422713	0.0018156299023125147	1.0009411593783633	0.002388735931485264																																																
144	1647.3879	354.7845	0.35	99.0	99.0	-0.0011521834660484572	0.0018119357999612196	-0.6358853697096316	0.0035664888240327																																																
14443	3993.9194	4491.6401	0.355	31.0851	0.2693	0.007309213618300566	0.0018123985750756943	4.032895257598235	0.002975976636474544																																																
13434	9448.1514	4101.7148	0.347	32.8721	1.3967	0.0014095690350543826	0.0018128601932523832	0.777538742535644	0.002714261489049005																																																
17789	1766.0089	5658.7183	0.347	33.5082	2.5082	0.0007845458909949393	0.0018119357999612196	0.43298768698743667	0.0021524615692758093																																																
1566	4884.0342	875.5318	0.362	31.866	0.5531	0.003560684285792049	0.0018133218114290718	1.963625134462971	0.003216962623346445																																																
10050	3855.5791	3240.4062	0.347	99.0	99.0	-0.0011042622930881407	0.0018128601932523832	-0.6091271115104723	0.0026525245294989532																																																
6139	10677.4473	2145.0862	0.299	27.7488	0.0125	0.15790870302998625	0.0018123985750756943	87.12691854957524	0.002607067415166877																																																
2214	5023.9194	1161.1895	0.356	99.0	99.0	-0.0013471881065609652	0.0018128601932523832	-0.7431285167909316	0.0028185138388014336																																																
11306	9604.0615	3538.2498	0.351	33.0518	1.6498	0.0011945787570606084	0.0018147078228969234	0.6582760827876043	0.002839647886535222																																																
17873	9664.2539	6079.2446	0.347	99.0	99.0	-0.002654613418348469	0.00181378342960576	-1.4635779415657522	0.0025526036584008534																																																
4718	2686.0044	1815.0111	0.347	99.0	99.0	-0.004516613387131359	0.001809160306212157	-2.4965246980173927	0.0030522149562025296																																																
300	1735.3929	437.8174	0.347	99.0	99.0	-0.005236406858558754	0.0018119357999612196	-2.8899516520788584	0.0033426770920569316																																																
14661	5292.8965	4575.4819	0.019	34.9317	9.3312	0.0002114711046357506	0.0018170135999047942	0.11638388653053067	0.002833458686149404							99.0	99.0	-9.370256753609233e-08	1.7666763330486953e-06	-0.053038898967075025	0.0022108151843320237																																				
871	10425.9824	651.4987	0.019	99.0	99.0	-0.0061298786735107585	0.001811011406670056	-3.384781924030999	0.004077333600102227																																																
11065	4904.2598	3475.4851	0.7	29.6185	0.0699	0.028218048117059268	0.0018160915204892033	15.537789697656939	0.0022292399345290696																																																
3099	9928.5088	1444.4109	0.351	32.4822	0.9749	0.002018523238813918	0.0018119357999612196	1.1140147674421574	0.002709154063167026																																																
10864	3625.1929	3458.0327	0.019	99.0	99.0	-0.0008797833898409538	0.0018133218114290718	-0.48517774633042104	0.002097869661511832																																																
17539	10191.501	5776.4902	0.312	31.9273	0.5865	0.0033651768401176643	0.0018174740611436972	1.8515680152266003	0.0022369643902876686																																																
14610	1410.922	4554.7192	0.349	99.0	99.0	-0.00033350536509787137	0.0018160915204892033	-0.18363907398677493	0.0031465785091325557																																																
5586	10116.6182	2035.7565	0.317	30.4709	0.1531	0.012868850383315394	0.00181378342960576	7.095031398601177	0.003198995205915239																																																
3041	2212.6145	1414.7076	0.355	30.8845	0.2237	0.008792485375023992	0.001811474181784531	4.853773497540154	0.002725680399170221																																																
18014	8118.7402	5599.646	0.347	99.0	99.0	-0.000568923577888571	0.001814246204720235	-0.31358675377595824	0.0019222201425892946																																																
3745	1447.5105	1594.9606	0.351	30.355	0.1375	0.014319511534659568	0.0018128601932523832	7.898850439740463	0.0023136806575036785																																																
9143	6155.7988	3023.3645	0.355	32.2239	0.7687	0.0025606133801585594	0.0018123985750756943	1.4128312697727738	0.0031252257147645775																																																
