source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W
252	1303.2238	482.0588	0.797	27.2307	0.0078	0.2544670777464903	0.001826394051475199	139.32758789974946	0.003924730418740207																																																
7717	2966.1526	2666.0276	0.35	33.2328	1.9622	0.001011078705893944	0.0018268591404652457	0.5534519238502718	0.003011401409713285																																																
3669	4500.8237	1530.5458	0.002	29.3861	0.0568	0.03495379775512937	0.0018268591404652457	19.133274690367042	0.003329827246406527																																																
347	1761.8284	470.3573	0.54	28.9393	0.0376	0.05274755875357495	0.0018268591404652457	28.873358424416754	0.004175289125208827																																																
5246	4156.9165	2016.1995	0.355	30.3885	0.1426	0.013883484821801406	0.0018231349577315101	7.615171198887188	0.002282100691087306																																																
16509	952.7604	5334.9463	0.348	34.3041	5.2621	0.0003769310249024009	0.001826394051475199	0.20637990175118534	0.0024167252191957885																																																
8098	10563.4053	2754.1123	0.346	32.5969	1.0907	0.0018161910171388153	0.00182406629264939	0.9956825716574499	0.002158456534811157																																																
7062	7808.7261	2490.335	0.819	28.7638	0.032	0.062001580162704746	0.0018273242294552933	33.93025669078267	0.0029776740316485046																																																
1375	6243.5913	805.3559	0.182	28.3639	0.0221	0.08960873042052367	0.0018268591404652457	49.05070590045768	0.003430260828364327																																																
13926	516.5	4317.2974	0.403	29.608	0.0698	0.028492346496786343	0.0018315042456767867	15.556800681211474	0.01768634562993049																																																
7617	4030.2446	2657.7441	0.347	99.0	99.0	-0.0003358173895697874	0.0018268591404652457	-0.18382226748158859	0.002412754479814918																																																
15568	736.3068	5025.6987	0.0	28.2857	0.0206	0.09630406822172226	0.0018310403136245258	52.595274667158655	0.0024502882330595423																																																
10342	6245.1572	3318.634	0.347	99.0	99.0	-0.0017884754155329194	0.0018277893184453404	-0.9784910095952086	0.002359733170525521																																																
9763	6145.8076	3194.8208	0.019	99.0	99.0	-0.002817651405053515	0.0018259289624851514	-1.543133091672195	0.0025709125119291474																																																
9930	3445.4121	3229.2041	0.019	99.0	99.0	-0.0016995612758510888	0.0018226687118036765	-0.9324575908088294	0.002947188889925011																																																
11924	3133.418	3703.6445	0.347	99.0	99.0	-0.0006784651084416658	0.0018268591404652457	-0.37138337237586977	0.002495294283178801																																																
15851	9831.5801	5031.0586	0.348	31.2897	0.3276	0.006053872488709417	0.0018259289624851514	3.3155027457748907	0.0024071980343796334																																																
4436	1788.1292	1781.3359	0.05	30.0575	0.1054	0.01883211266154843	0.0018273242294552933	10.30584083436692	0.002939757490603884																																																
910	6987.0947	676.599	0.359	31.4002	0.3622	0.005468180833016744	0.001823600046721557	2.998563661394593	0.003141290516334425																																																
5907	4892.5088	2204.1975	0.353	30.3537	0.1382	0.014335778079933357	0.00182406629264939	7.859241814677229	0.002497695027917397																																																
4020	4996.0796	1679.428	0.353	99.0	99.0	-0.0004049904684183518	0.0018268591404652457	-0.22168675156597623	0.004098565359605828																																																
1229	10896.8193	786.8408	0.025	32.0146	0.6389	0.0031050578898980928	0.0018268591404652457	1.6996701174822535	0.0032274557587939536																																																
10640	6162.3721	3387.8274	0.909	28.2125	0.0192	0.10301762779305332	0.0018254627165573182	56.43370683973026	0.0028355972684312412																																																
8494	7548.1821	2840.6921	0.378	29.7401	0.0785	0.02522803496368182	0.0018245325385772239	13.827122526055206	0.0024584576208838116																																																
798	2980.0259	636.1986	0.349	31.4701	0.3866	0.005127010292310268	0.001824997627567271	2.8093243601333295	0.003280204687948848																																																
17238	9448.4619	5771.9077	0.347	99.0	99.0	-0.004521311711481065	0.0018291822715399094	-2.471766636834266	0.0022097342636154312																																																
5736	2110.0149	2167.0623	1.0	32.637	1.1326	0.0017503068810288235	0.0018254627165573182	0.9588291588500735	0.0034380821598365874	30.228	0.0005	0.0035994947600471597	1.7861361452557818e-06	2015.2409823897817	0.0016447773173158783																																										
6425	3118.238	2350.5762	0.347	31.1682	0.293	0.006770750476915619	0.0018268591404652457	3.706224703887851	0.0028102830006299004																																																
1580	7971.0698	931.7087	0.351	32.9122	1.4627	0.001358420815527055	0.0018296473605299566	0.7424495259750977	0.004347483001258776																																																
7013	2547.5532	2517.2688	0.348	30.9658	0.2431	0.008158209273938184	0.0018259289624851514	4.467977364702395	0.003465602502749735																																																
12802	11004.1094	3923.9688	0.351	31.6231	0.445	0.004453404091183031	0.001824997627567271	2.4402245920283394	0.002510499184684306																																																
13068	3716.4114	4008.8181	0.362	30.55	0.1657	0.0119652009866583	0.0018254627165573182	6.554612634994675	0.003459856708684131																																																
15284	3926.1836	4974.313	0.161	28.1049	0.0174	0.11375668297515489	0.001824997627567271	62.33251005744758	0.002859382141513552																																																
7784	4175.2944	2688.2793	0.356	31.8203	0.5351	0.0037135921252412422	0.0018296473605299566	2.029676431290892	0.0022650544208922285																																																
14492	7153.9146	4556.8569	0.356	30.8293	0.2147	0.009250970564187616	0.0018291822715399094	5.057435067091276	0.0024164374887219015																																																
14150	3266.4666	4384.873	0.434	30.9653	0.2431	0.008162022540881456	0.0018273242294552933	4.466652611132109	0.002661757119560284																																																
15070	3238.9768	4739.668	0.348	31.6367	0.4509	0.00439796363246895	0.0018259289624851514	2.408617050732999	0.002290891438462811																																																
6914	3891.1353	2490.0938	0.348	31.075	0.2692	0.0073779600184935845	0.0018291822715399094	4.033474483809861	0.002965670833181258																																																
9731	2225.3699	3178.3115	0.358	30.9214	0.2333	0.008499176193594287	0.0018259289624851514	4.654713501026141	0.0018991985323358873																																																
5107	10926.3594	1981.2574	0.019	32.482	0.9822	0.0020189004005322147	0.0018259289624851514	1.105683978956346	0.0033497752055789117							99.0	99.0	-3.0184348978801804e-06	2.107743436964772e-06	-1.4320694088967667	0.0034772156662432117																																				
8432	5006.1104	2837.3196	0.347	31.3246	0.339	0.0058621644267248686	0.0018296473605299566	3.2039859446067767	0.0025607564816609286																																																
2967	10067.6699	1421.8757	0.355	30.7623	0.2018	0.009840262610270904	0.0018282532504976013	5.382330159999797	0.003334883225836343																																																
1449	5076.4312	858.563	0.67	29.1356	0.0451	0.044021818276373866	0.0018268591404652457	24.09699647952214	0.003834475220474607																																																
4834	2688.4072	1915.8894	0.352	31.4709	0.3866	0.005123406431106297	0.00182406629264939	2.8087830205253863	0.0033631907180352648																																																
2454	2528.8535	1210.6248	0.181	28.792	0.0328	0.0604088470512168	0.0018268591404652457	33.06705246898921	0.0028132609921485588																																																
2411	6766.9551	1242.8661	0.35	31.5136	0.4027	0.004925692705073653	0.001826394051475199	2.6969495991815764	0.0029449684116949655																																																
6592	2319.6487	2398.9441	0.348	32.2158	0.7692	0.002579775740711175	0.0018273242294552933	1.4117777781998655	0.0026283917517773013																																																
9986	2976.8757	3248.0	0.019	99.0	99.0	-0.00041537699308762425	0.0018231349577315101	-0.22783666745355452	0.003161225766855931																																																
16952	1322.3612	5957.376	0.348	33.0474	1.6542	0.001199334928299623	0.0018268591404652457	0.656501041450951	0.0024239709534911564																																																
12799	3422.186	4227.7158	0.887	28.6742	0.0294	0.06733470470631316	0.0018254627165573182	36.88637631192009	0.0023968775322678443													25.3537	0.0	0.31870798588944593	2.317833731732203e-06	137502.52294898807	0.0022821767968034456																														
2450	6474.0879	1257.7167	0.347	32.1445	0.721	0.0027550471875673636	0.0018291834284776959	1.5061623370709196	0.0030834367510491345																																																
16851	4102.9844	6006.7168	0.029	25.4679	0.0015	1.2904888995355117	0.0018254627165573182	706.9379658266996	0.005618155418376554																																																
11093	4068.4844	3498.29	0.347	34.8792	8.9552	0.00022193896203139205	0.0018301112925822177	0.12127074617317102	0.002001313199081942																																																
3291	7887.0464	1533.6779	0.405	31.3178	0.3362	0.005899060329664158	0.001826394051475199	3.229894624820652	0.003179635311537978																																																
540	4434.5127	563.0891	0.379	30.7603	0.2017	0.009858300427295345	0.0018305752246344786	5.3853566325108595	0.003551133131816751																																																
14997	4269.2168	4685.2368	0.347	99.0	99.0	-0.0009996243276480209	0.001826394051475199	-0.547321278691536	0.0019896330973913213																																																
805	797.6028	627.9307	0.374	30.6199	0.1767	0.011219332451405821	0.001824997627567271	6.1475874170648845	0.005578406132710838																																																
6153	4336.0293	2288.5718	0.725	28.889	0.0359	0.055248002113349494	0.0018259289624851514	30.257476193463237	0.0030004104862232485																																																
11618	4388.5542	3621.3186	0.347	99.0	99.0	-0.0004138189449709662	0.0018259289624851514	-0.22663474509311937	0.002496021522595412																																																
10946	4071.259	3473.5303	0.346	33.0197	1.6124	0.0012304091202988204	0.0018268591404652457	0.6735106681435069	0.0019873573148761906																																																
5442	4871.2305	2040.0209	0.359	30.0579	0.1054	0.018826455235773976	0.001826394051475199	10.307991980464259	0.0033485723103823376																																																
12148	4080.7017	3747.5608	0.348	99.0	99.0	-0.0002622958443580606	0.001826394051475199	-0.14361404875700362	0.002201855209707317																																																
8179	4994.9854	2776.5076	0.019	99.0	99.0	-0.000861237561434597	0.0018245325385772239	-0.47203190034977	0.002848069740710982																																																
9455	854.4401	3098.2864	0.363	30.4661	0.1534	0.012926847674536949	0.0018259289624851514	7.079600543135626	0.0030682141590174334																																																
10498	7779.6274	3366.2056	0.019	31.4359	0.3749	0.0052910212636934975	0.001826394051475199	2.896976837731091	0.0025092709552395863																																																
8445	4091.5085	2741.8147	0.942	28.2074	0.0191	0.10350812313688516	0.0018245325385772239	56.73131114318252	0.002793436250986178																																																
12308	2732.1462	3785.3784	0.347	99.0	99.0	-0.0008169916327396609	0.001826394051475199	-0.4473249527284474	0.0028022855087277937																			34.2293	2.976	0.0006927386593392713	0.0018983323684928217	0.36491958459796486	0.002832248048979402																								
2817	9832.8213	1373.6727	0.352	33.2209	1.9407	0.0010222726574441964	0.0018268591404652457	0.5595793538761037	0.003472686282292815																																																
3609	4419.0854	1602.9745	0.366	99.0	99.0	-0.0022277670068237007	0.0018254627165573182	-1.2203848298940323	0.0032796482625736295																																																
15807	7680.6958	5006.4424	0.357	30.417	0.1467	0.013524753122438398	0.0018268591404652457	7.403281852915082	0.002315950322587656																																																
