NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
10412,10222.834,3318.8594,215.0620293,52.9275337,0.923,F606W,0.1451145,0.06256097,2.3195692138405146,0.004102633280726777,0.002964454656747732,1.3839419912827162,0.9356272225577984,1.6760595664061078
10412,10222.834,3318.8594,215.0620293,52.9275337,0.923,F814W,0.5154197,0.03817217,13.502499333938838,0.0,0.0,0.0,13.502499333938838,
10412,10222.834,3318.8594,215.0620293,52.9275337,0.923,F115W,1.264656,0.08436417,14.990439661766363,0.0,0.0,0.0,14.990439661766363,
10412,10222.834,3318.8594,215.0620293,52.9275337,0.923,F150W,1.563897,0.0003833299,4079.7678448772194,0.0,0.0,0.0,4079.7678448772194,
10412,10222.834,3318.8594,215.0620293,52.9275337,0.923,F200W,0.5482739,0.0002719985,2015.7239837719694,0.0,0.0,0.0,2015.7239837719694,
10412,10222.834,3318.8594,215.0620293,52.9275337,0.923,F277W,3.219755,0.000199814,16113.760797541714,0.0,0.0,0.0,16113.760797541714,
10412,10222.834,3318.8594,215.0620293,52.9275337,0.923,F356W,1.961125,0.07528517,26.049286997691578,0.0,0.0,0.0,26.049286997691578,
10412,10222.834,3318.8594,215.0620293,52.9275337,0.923,F410M,2.278741,0.0002780816,8194.50477845352,0.0,0.0,0.0,8194.50477845352,
10412,10222.834,3318.8594,215.0620293,52.9275337,0.923,F444W,2.210434,0.0001654774,13357.920779514301,0.0,0.0,0.0,13357.920779514301,
2625,10984.4453,1291.8782,215.0764984,52.9117383,0.019,F606W,-0.0402976,0.01311765,-3.0720136609834845,-0.003033998771070487,0.00371844299998944,-0.8159325747575271,-2.2560810862259575,
2625,10984.4453,1291.8782,215.0764984,52.9117383,0.019,F814W,-0.02306698,0.008003863,-2.881980863490542,0.0,0.0,0.0,-2.881980863490542,
2625,10984.4453,1291.8782,215.0764984,52.9117383,0.019,F115W,-0.0123766,0.0176893,-0.6996658997246923,0.0,0.0,0.0,-0.6996658997246923,
2625,10984.4453,1291.8782,215.0764984,52.9117383,0.019,F150W,4.691172e-05,8.037582e-05,0.5836546364317029,0.0,0.0,0.0,0.5836546364317029,
2625,10984.4453,1291.8782,215.0764984,52.9117383,0.019,F200W,2.119063e-05,5.703209e-05,0.37155625894123817,0.0,0.0,0.0,0.37155625894123817,
2625,10984.4453,1291.8782,215.0764984,52.9117383,0.019,F277W,8.594919e-06,4.189658e-05,0.20514607636231882,0.0,0.0,0.0,0.20514607636231882,
2625,10984.4453,1291.8782,215.0764984,52.9117383,0.019,F356W,0.6265464,0.01578564,39.69090895269371,0.0,0.0,0.0,39.69090895269371,
2625,10984.4453,1291.8782,215.0764984,52.9117383,0.019,F410M,-3.234715e-07,5.830758e-05,-0.005547674933516363,0.0,0.0,0.0,-0.005547674933516363,
2625,10984.4453,1291.8782,215.0764984,52.9117383,0.019,F444W,-3.110832e-06,3.469696e-05,-0.08965719186925886,0.0,0.0,0.0,-0.08965719186925886,
10086,3511.0833,3248.1431,215.1230749,52.9696724,0.019,F606W,-0.0126429,0.009190871,-1.3755932381163876,-0.003041168314531488,0.002493633120902937,-1.2195732760520483,-0.1560199620643392,
10086,3511.0833,3248.1431,215.1230749,52.9696724,0.019,F814W,0.003999102,0.005607898,0.7131196038159039,0.0,0.0,0.0,0.7131196038159039,
10086,3511.0833,3248.1431,215.1230749,52.9696724,0.019,F115W,0.003350381,0.01239399,0.2703230356003192,0.0,0.0,0.0,0.2703230356003192,
10086,3511.0833,3248.1431,215.1230749,52.9696724,0.019,F150W,-0.05178936,5.631524e-05,-919.6331224016802,0.0,0.0,0.0,-919.6331224016802,
10086,3511.0833,3248.1431,215.1230749,52.9696724,0.019,F200W,-0.03541937,3.995948e-05,-886.3821551231397,0.0,0.0,0.0,-886.3821551231397,
10086,3511.0833,3248.1431,215.1230749,52.9696724,0.019,F277W,0.1159598,2.93548e-05,3950.284110264761,0.0,0.0,0.0,3950.284110264761,
10086,3511.0833,3248.1431,215.1230749,52.9696724,0.019,F356W,0.03278245,0.01106019,2.964004235008621,0.0,0.0,0.0,2.964004235008621,
10086,3511.0833,3248.1431,215.1230749,52.9696724,0.019,F410M,0.23024,4.085315e-05,5635.795526171177,0.0,0.0,0.0,5635.795526171177,
10086,3511.0833,3248.1431,215.1230749,52.9696724,0.019,F444W,0.225149,2.43104e-05,9261.427208108464,0.0,0.0,0.0,9261.427208108464,
8507,3047.9592,2849.7163,215.1314299,52.9704471,1.0,F606W,0.005162638,0.008482791,0.6086013435908063,0.006238807836893624,0.0026533616452280337,2.351284397328149,-1.742683053737343,0.2588378267989965
8507,3047.9592,2849.7163,215.1314299,52.9704471,1.0,F814W,-0.006051997,0.005175856,-1.1692746088762902,0.0,0.0,0.0,-1.1692746088762902,
8507,3047.9592,2849.7163,215.1314299,52.9704471,1.0,F115W,-0.01995215,0.01143914,-1.744200175887348,0.0,0.0,0.0,-1.744200175887348,
8507,3047.9592,2849.7163,215.1314299,52.9704471,1.0,F150W,-0.05326444,5.197661e-05,-1024.7771064715457,0.0,0.0,0.0,-1024.7771064715457,
8507,3047.9592,2849.7163,215.1314299,52.9704471,1.0,F200W,-0.02528606,3.688093e-05,-685.6134050849585,0.0,0.0,0.0,-685.6134050849585,
8507,3047.9592,2849.7163,215.1314299,52.9704471,1.0,F277W,0.288428,2.709325e-05,10645.751248004577,0.0,0.0,0.0,10645.751248004577,
8507,3047.9592,2849.7163,215.1314299,52.9704471,1.0,F356W,-0.02689235,0.0102081,-2.634412868212498,0.0,0.0,0.0,-2.634412868212498,
8507,3047.9592,2849.7163,215.1314299,52.9704471,1.0,F410M,0.1927245,3.770575e-05,5111.276131624487,0.0,0.0,0.0,5111.276131624487,
8507,3047.9592,2849.7163,215.1314299,52.9704471,1.0,F444W,0.1102447,2.243748e-05,4913.417193018111,0.0,0.0,0.0,4913.417193018111,
15537,534.8065,4916.9058,215.132299,52.9975593,0.057,F606W,1.027357,0.03637852,28.240758557522412,0.030746767036328223,0.0040842701521244884,7.528093365796304,20.71266519172611,3.7513826124731082
15537,534.8065,4916.9058,215.132299,52.9975593,0.057,F814W,1.233794,0.0221967,55.58456887735564,0.0,0.0,0.0,55.58456887735564,
15537,534.8065,4916.9058,215.132299,52.9975593,0.057,F115W,13.13705,0.04905684,267.7924220149525,0.0,0.0,0.0,267.7924220149525,
15537,534.8065,4916.9058,215.132299,52.9975593,0.057,F150W,4.089632e-07,0.0002229021,0.001834721162339879,0.0,0.0,0.0,0.001834721162339879,
15537,534.8065,4916.9058,215.132299,52.9975593,0.057,F200W,-3.995102e-08,0.0001581642,-0.00025259205306889926,0.0,0.0,0.0,-0.00025259205306889926,
15537,534.8065,4916.9058,215.132299,52.9975593,0.057,F277W,-1.06518e-07,0.0001161896,-0.0009167601919621034,0.0,0.0,0.0,-0.0009167601919621034,
15537,534.8065,4916.9058,215.132299,52.9975593,0.057,F356W,5.661182,0.0437775,129.31716064188225,0.0,0.0,0.0,129.31716064188225,
15537,534.8065,4916.9058,215.132299,52.9975593,0.057,F410M,-1.354685e-09,0.0001617014,-8.37769493646932e-06,0.0,0.0,0.0,-8.37769493646932e-06,
15537,534.8065,4916.9058,215.132299,52.9975593,0.057,F444W,-5.044444e-08,9.622332e-05,-0.0005242433954679594,0.0,0.0,0.0,-0.0005242433954679594,
10206,7846.7725,3274.0566,215.0838347,52.942348,1.0,F606W,0.1206704,0.02841088,4.2473306001081275,0.010622477503014234,0.0025577998746188512,4.152974440424951,0.09435615968317634,1.0227201397544652
10206,7846.7725,3274.0566,215.0838347,52.942348,1.0,F814W,0.03699077,0.01733517,2.133856777868345,0.0,0.0,0.0,2.133856777868345,
10206,7846.7725,3274.0566,215.0838347,52.942348,1.0,F115W,0.2356913,0.03831239,6.15182973445405,0.0,0.0,0.0,6.15182973445405,
10206,7846.7725,3274.0566,215.0838347,52.942348,1.0,F150W,0.61023,0.000174082,3505.4169873967444,0.0,0.0,0.0,3505.4169873967444,
10206,7846.7725,3274.0566,215.0838347,52.942348,1.0,F200W,0.5615914,0.000123523,4546.452077750702,0.0,0.0,0.0,4546.452077750702,
