,SEX_SNR,SEX_SNR,SEX_SNR,NMAD_SNR,NMAD_SNR,NMAD_SNR,SNR_DIFF,SNR_DIFF,SNR_DIFF,SNR_RATIO,SNR_RATIO,SNR_RATIO
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
FILTER,,,,,,,,,,,,
F115W,199.304,4777.253,1787,2.712,35.057,1787,196.592,4775.263,1787,4.982,20.495,166
F150W,6871.583,84320.208,1787,3.355,59.671,1787,6868.228,84280.659,1787,657.437,2523.904,165
F200W,9638.128,111240.561,1787,2.188,34.064,1787,9635.939,111234.808,1787,485.931,829.174,172
F277W,19539.709,259835.849,1787,6.205,111.375,1787,19533.505,259822.694,1787,903.529,3142.692,178
F356W,162.741,913.416,1787,20.115,553.671,1787,142.625,759.962,1787,3.065,2.828,185
F410M,10189.748,108599.949,1787,2.606,46.215,1787,10187.141,108598.317,1787,539.854,1167.157,173
F444W,18031.287,201146.013,1787,3.681,97.902,1787,18027.606,201146.243,1787,1540.468,7388.504,177
F606W,32.981,841.835,1787,1.066,15.161,1787,31.915,841.219,1787,0.62,13.343,145
F814W,63.228,1736.028,1787,1.075,13.417,1787,62.152,1735.997,1787,1.834,14.848,155
