,sex_snr,sex_snr,sex_snr,nmad_snr,nmad_snr,nmad_snr,local_rms_snr,local_rms_snr,local_rms_snr,weighted_rms_snr,weighted_rms_snr,weighted_rms_snr,global_stats_snr,global_stats_snr,global_stats_snr
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
filter,,,,,,,,,,,,,,,
F115W,17.904,15.251,54,0.0,0.0,54,14.367,7.017,13,3.974,1.783,13,6.484,6.841,13
F150W,6837.208,9868.526,54,0.0,0.0,54,30.057,17.185,13,9.952,6.382,13,1.946,1.811,13
F200W,8249.673,12248.152,54,0.0,0.0,54,33.019,15.606,13,12.106,7.287,13,12.4,14.716,13
F277W,10324.495,14808.887,54,0.0,0.0,54,32.723,16.725,13,10.303,6.235,13,25.325,19.976,13
F356W,39.503,25.546,54,0.0,0.0,54,36.843,21.726,13,12.368,7.432,13,40.251,28.672,13
F410M,8095.626,10789.463,54,0.0,0.0,54,23.321,16.693,13,8.11,6.794,13,14.78,15.139,13
F444W,18980.985,27528.734,54,0.0,0.0,54,34.307,30.289,13,12.979,12.765,13,27.208,19.141,13
F606W,1.816,3.6,54,0.0,0.0,54,1.642,3.118,54,0.862,1.684,54,0.046,0.1,54
F814W,1.809,3.71,54,0.0,0.0,54,1.632,3.444,54,0.947,2.034,54,0.019,0.038,54
