NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
49	180.4972	197.5395	214.8715835	52.8711732	-1	z8-10	nircam3	F150W	0.1179717	0.03338175	0.00257065372892611	0.0007107286194300356
457	8474.5664	324.9333	214.796215	52.8191519	-1	z8-10	nircam3	F150W	-0.002078185	0.02985754	-0.0001980737636253427	0.0007100055779993427
868	3908.9641	493.7003	214.8351667	52.8490816	-1	z8-10	nircam3	F150W	0.8124282	0.04117932	0.012249374608970206	0.0007098246245903796
1021	3697.4653	577.6644	214.8361712	52.8508783	-1	z8-10	nircam3	F150W	2.285604	0.07681903	0.01600203942879911	0.0007105479234227923
1715	2246.0176	874.4232	214.8460078	52.8617012	-1	z8-10	nircam3	F150W	0.7844031	0.03452333	0.012775501150060216	0.0007098246245903796
1725	6991.4644	883.8897	214.8035579	52.8315921	-1	z8-10	nircam3	F150W	0.385505	0.03034045	0.009093915241114728	0.0007110897540428023
2210	1259.854	1124.45	214.8521846	52.8693152	-1	z8-10	nircam3	F150W	0.4151304	0.03656787	0.009069212398073222	0.000710367227415549
2790	3958.3804	1370.6488	214.8254968	52.8534946	-1	z8-10	nircam3	F150W	0.9063266	0.03249926	0.018151372102648347	0.0007101865314083058
3404	1449.8234	1591.3014	214.8455735	52.8706255	-1	z8-10	nircam3	F150W	0.6867929	0.03799735	0.013501204114534947	0.0007092817643634907
3591	9943.2324	1651.3943	214.7691691	52.8169576	-1	z8-10	nircam3	F150W	-0.02704344	0.01524986	0.0007116763725620437	0.0007100055779993427
4026	7554.2808	1779.5316	214.789114	52.8328391	-1	z8-10	nircam3	F150W	0.001627362	0.02088173	-0.0011414425206612007	0.0007110897540428023
4596	3977.8147	1948.7542	214.8192384	52.8564869	-1	z8-10	nircam3	F150W	0.3850244	0.0312839	0.008890431459624659	0.0007101865314083058
5466	7235.127	2238.5264	214.7871288	52.8373408	-1	z8-10	nircam3	F150W	-0.1923191	0.04574957	-0.0034799271056482313	0.0007105479234227923
5922	9022.0645	2401.7134	214.7694813	52.8268564	-1	z8-10	nircam3	F150W	0.8990963	0.0410615	0.02053429168910888	0.0007109093154372787
8730	9116.1904	3345.9946	214.7587024	52.8313423	-1	z8-10	nircam3	F150W	0.09701731	0.02677787	0.0021344867722626814	0.0007085574359241991
9992	578.233	3744.6199	214.8306859	52.8877727	-1	z8-10	nircam3	F150W	0.8827484	0.05471916	0.011942484834617113	0.0007100055779993427
10047	7614.272	3744.5977	214.7678929	52.843041	-1	z8-10	nircam3	F150W	0.4967057	0.03438271	0.010159234034587725	0.0007094629751741734
10134	6941.4634	3773.3328	214.7735892	52.8474746	-1	z8-10	nircam3	F150W	0.3246578	0.03722444	0.006873938665288398	0.0007105479234227923
11198	9990.8203	4292.0264	214.7409486	52.8308713	-1	z8-10	nircam3	F150W	0.2417205	0.03438271	0.006307487570787089	0.0007100055779993427
11909	6222.0039	4206.6768	214.7754419	52.8543837	-1	z8-10	nircam3	F150W	1.360541	0.0606809	0.016567144312306284	0.0007091008109545276
