NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	REDSHIFT	REDSHIFT_BIN	POINTING	FILTER	SEX_FLUX	SEX_FLUXERR	EAZY_FLUX	EAZY_FLUXERR
289	7291.6089	279.9794	214.7627285	52.7437537	-1	z10-15	nircam4	F410M	3.142969	0.03836308	0.11474190077626814	0.00162742152086659
1901	3426.3826	967.681	214.7898993	52.7720372	-1	z10-15	nircam4	F410M	0.2613635	0.0651309	0.004505699033522272	0.0016278363343912724
2011	3306.2524	1014.7666	214.7904741	52.7730546	-1	z10-15	nircam4	F410M	0.2094739	0.03910807	0.009865753200472269	0.0016282508059427268
2108	2683.0696	1039.8203	214.7957603	52.7771518	-1	z10-15	nircam4	F410M	0.3882723	0.04297525	0.015800018033068176	0.00162742152086659
2761	2203.1763	1222.8259	214.798111	52.7811887	-1	z10-15	nircam4	F410M	0.06401045	0.02461717	0.0014678742536557267	0.0016270067073419084
3824	1785.4679	1495.0701	214.7989701	52.785311	-1	z10-15	nircam4	F410M	0.2461743	0.03721766	0.005705081215142271	0.0016290794070724084
3938	3889.657	1532.72	214.7798359	52.7721349	-1	z10-15	nircam4	F410M	-0.01359852	0.07024679	0.009042818567166362	0.0016286652774941813
4227	6570.1143	1653.4695	214.7547133	52.7557378	-1	z10-15	nircam4	F410M	0.5586624	0.04774655	0.020363069396536357	0.0016303221377803173
5922	2242.6033	2203.8726	214.787447	52.786223	-1	z10-15	nircam4	F410M	0.3861412	0.04589759	0.014276260566450902	0.0016265918938172265
6626	4030.0271	2412.021	214.7693431	52.7759777	-1	z10-15	nircam4	F410M	-0.1394252	0.08164591	-0.0013160036014506814	0.0016278363343912724
6828	3302.0444	2458.7781	214.7753326	52.7808591	-1	z10-15	nircam4	F410M	0.6871065	0.08425505	0.008796327684680453	0.0016290794070724084
8838	3644.4683	3041.3862	214.7661583	52.7818188	-1	z10-15	nircam4	F410M	0.8204851	0.1014992	0.022107649235200446	0.0016282508059427268
9221	3194.3513	3128.562	214.769249	52.785151	-1	z10-15	nircam4	F410M	0.4288682	0.04019967	0.015541448656194994	0.0016282508059427268
9817	2789.4695	3287.0229	214.7711879	52.7885792	-1	z10-15	nircam4	F410M	0.5460519	0.05634103	0.01392650402852545	0.0016282508059427268
10256	9027.1104	3420.5962	214.7142902	52.7496161	-1	z10-15	nircam4	F410M	1.083772	0.1000675	0.01884358317552772	0.0016257615828214086
11314	2923.0842	4502.5186	214.7572142	52.7942743	-1	z10-15	nircam4	F410M	0.2149538	0.03311465	0.005898771431337271	0.0016307359253853178
11336	3056.1946	4495.6406	214.7561013	52.7933906	-1	z10-15	nircam4	F410M	8.584693	0.02279107	0.27969186621552267	0.0016282508059427268
11905	7309.5454	4454.291	214.7186904	52.7661077	-1	z10-15	nircam4	F410M	0.7018651	0.08075746	0.014579686571545448	0.0016290794070724084
11987	7903.7163	4115.1133	214.7169742	52.7605017	-1	z10-15	nircam4	F410M	0.5315688	0.0683732	0.013052143461302268	0.0016303221377803173
12161	1167.8948	3805.7346	214.7801754	52.8016848	-1	z10-15	nircam4	F410M	0.5176553	0.07501459	0.01625721913927045	0.0016307359253853178
