NUMBER	X_IMAGE	Y_IMAGE	ALPHA_J2000	DELTA_J2000	CLASS_STAR	REDSHIFT	REDSHIFT_BIN	POINTING	SEX_FLUX_F606W	SEX_FLUXERR_F606W	SEX_MAG_F606W	SEX_MAGERR_F606W	SEX_FLUX_F814W	SEX_FLUXERR_F814W	SEX_MAG_F814W	SEX_MAGERR_F814W	SEX_FLUX_F115W	SEX_FLUXERR_F115W	SEX_MAG_F115W	SEX_MAGERR_F115W	SEX_FLUX_F150W	SEX_FLUXERR_F150W	SEX_MAG_F150W	SEX_MAGERR_F150W	SEX_FLUX_F200W	SEX_FLUXERR_F200W	SEX_MAG_F200W	SEX_MAGERR_F200W	SEX_FLUX_F277W	SEX_FLUXERR_F277W	SEX_MAG_F277W	SEX_MAGERR_F277W	SEX_FLUX_F356W	SEX_FLUXERR_F356W	SEX_MAG_F356W	SEX_MAGERR_F356W	SEX_FLUX_F410M	SEX_FLUXERR_F410M	SEX_MAG_F410M	SEX_MAGERR_F410M	SEX_FLUX_F444W	SEX_FLUXERR_F444W	SEX_MAG_F444W	SEX_MAGERR_F444W	EAZY_FLUX_F606W	EAZY_FLUXERR_F606W	EAZY_FLUX_F814W	EAZY_FLUXERR_F814W	EAZY_FLUX_F115W	EAZY_FLUXERR_F115W	EAZY_FLUX_F150W	EAZY_FLUXERR_F150W	EAZY_FLUX_F200W	EAZY_FLUXERR_F200W	EAZY_FLUX_F277W	EAZY_FLUXERR_F277W	EAZY_FLUX_F356W	EAZY_FLUXERR_F356W	EAZY_FLUX_F410M	EAZY_FLUXERR_F410M	EAZY_FLUX_F444W	EAZY_FLUXERR_F444W
651	8903.5273	417.2083	214.7469534	52.7342394	0.019	-1	z7-8	nircam4	-0.05135652	0.01505989	99.0	99.0	0.0247006	0.01058325	32.1048	0.4653	0.09540858	0.01830885	30.6376	0.2084	-0.05188936	0.02202678	99.0	99.0	0.1161838	0.01860362	30.4237	0.1739	0.08926532	0.0155781	30.7098	0.1895	0.1416367	0.01669822	30.2086	0.128	0.124444	0.03760334	30.3491	0.3282	0.0225007	0.03111124	32.206	1.5016	-0.006475033707952861	0.0022050227668850503	0.002914505862170329	0.0026582797868998243	0.004608779201005007	0.0005999394934673344	-0.00110208702518371	0.000716936213127102	0.004056602289579924	0.0006091503620632937	0.0022587147490943627	0.000592270465764727	0.004327361230344089	0.0006895428211034996	0.006126033159253634	0.00162742152086659	0.0	0.0
662	8915.3672	425.6671	214.7467593	52.7342097	0.347	-1	z7-8	nircam4	0.0087102	0.01734524	33.2365	2.1626	-0.05714587	0.01218927	99.0	99.0	0.08963244	0.02108724	30.7054	0.2555	0.1069927	0.02536937	30.5131	0.2575	-0.04173397	0.02142674	99.0	99.0	0.1156618	0.0179421	30.4285	0.1685	0.12165	0.0192322	30.3737	0.1717	0.1723571	0.04330969	29.9954	0.2729	0.1342532	0.03583241	30.2667	0.2899	0.0004464106922643048	0.002205585038649137	-0.006904961180147981	0.0026589585630153838	0.0036065739346733522	0.0006000925149497464	0.0026681085218599014	0.0007171188154866549	-0.0019254463879636063	0.0006093055996861014	0.0034494815178218166	0.0005924215754014088	0.0021965107202826127	0.0006897183674589089	0.012811520839396358	0.0016278363343912724	0.0	0.0
1666	2466.2061	880.1051	214.7993703	52.77767	0.35	-1	z7-8	nircam4	-0.02768137	0.02029638	99.0	99.0	0.01049803	0.01426316	33.0337	1.4755	0.8665254	0.02467505	28.2421	0.0309	0.8580017	0.02968575	28.2528	0.0376	0.463737	0.02507231	28.9208	0.0587	0.08249954	0.02099479	30.7954	0.2764	0.173398	0.02250439	29.9889	0.1409	-0.08752888	0.05067846	99.0	99.0	0.2659595	0.04192898	29.5245	0.1712	-0.0013828183195621665	0.002202211408064616	0.0026659368578174428	0.0026548918604984836	0.02449186501884412	0.000599174644974872	0.021283434054278655	0.00071602217258365	0.017847444399673087	0.0006083739152198827	0.0003528283841475907	0.0005915155184148634	0.005320092184899543	0.0006886634578547497	-0.0019944446290102716	0.0016253464273234995	0.0	0.0
2227	2515.9624	1081.274	214.7968129	52.7784375	0.084	-1	z7-8	nircam4	-0.03277813	0.01850715	99.0	99.0	-0.01362515	0.01300579	99.0	99.0	0.4087113	0.02249982	29.058	0.0598	0.3547519	0.02706879	29.2117	0.0829	0.318817	0.02286205	29.3277	0.0779	0.08929991	0.01914398	30.7094	0.2328	0.08520184	0.02052051	30.7604	0.2616	0.2342278	0.04621089	29.6624	0.2143	0.3147919	0.03823271	29.3415	0.1319	0.0036723125850300895	0.002203899380294663	-0.0034642728365377098	0.0026569262041196756	0.011375619591708496	0.0005996337094221082	0.009885940006203223	0.0007165707512215743	0.0076558046854374616	0.0006088398868176777	0.0031654494758790903	0.0005919685469081361	0.0033797013130984076	0.0006891914020983406	0.00876022899080954	0.0016265918938172265	0.0	0.0
4940	2117.5259	1923.5068	214.7915085	52.785508	0.066	-1	z7-8	nircam4	0.1175414	0.02746739	30.411	0.2538	0.04260574	0.01930255	31.5128	0.492	0.2765254	0.03339311	29.4822	0.1311	0.4538662	0.04017416	28.9442	0.0961	0.02257847	0.03393073	32.2023	1.632	0.05782322	0.02841255	31.1813	0.5336	0.2029427	0.03045552	29.8181	0.163	0.6709643	0.06858391	28.5198	0.111	0.4338016	0.0567431	28.9933	0.1421	0.005142306166781447	0.0022100751141973293	0.0042034818583614585	0.0026643709094104954	0.005492098944723596	0.0006013140976130629	0.008164154067472841	0.0007185786056173903	0.0027951543031113617	0.0006105459482923367	0.003964128495348634	0.000593627448327136	0.005270394293835679	0.0006911224120078407	0.01657610575396999	0.0016311497129903175	0.0	0.0
6138	1840.4335	2263.8535	214.7903985	52.7891032	0.019	-1	z7-8	nircam4	-0.03747119	0.01217023	99.0	99.0	0.0181694	0.008552555	32.4382	0.5112	0.02902596	0.01479579	31.9296	0.5536	-0.005659152	0.01780033	99.0	99.0	0.07999252	0.01503399	30.8289	0.2041	0.1039619	0.01258901	30.5443	0.1315	0.04254089	0.0134942	31.5145	0.3445	0.1968237	0.03038809	29.8513	0.1677	0.06649234	0.02514168	31.0296	0.4106	-0.005824613696998598	0.002206147310413224	0.008271720552786074	0.002659635354405458	0.0038736753919597832	0.0006002452775125604	0.0023939794300385916	0.0007173014178462078	0.001962148701665339	0.0006094608373089094	0.001607891852657999	0.000592572384621318	0.0018254220396648401	0.0006898942401086588	0.012017028119402723	0.0016282508059427268	0.0	0.0
8056	4062.7568	2825.3997	214.7647057	52.7779955	0.019	-1	z7-8	nircam4	0.01339635	0.02414954	32.7691	1.9577	0.01936279	0.01697095	32.3691	0.9518	0.07306609	0.02935948	30.9272	0.4364	-0.03438968	0.03532143	99.0	99.0	-0.05723647	0.02983215	99.0	99.0	0.1460041	0.02498054	30.1756	0.1858	0.1701888	0.02677673	30.0092	0.1709	0.5921646	0.0602995	28.6554	0.1106	0.2660443	0.04988897	29.5241	0.2036	0.000616373067313459	0.002205585038649137	0.0021704223545576558	0.0026589585630153838	0.0033442624899497355	0.0006000925149497464	-0.0015318835997781498	0.0007171188154866549	-0.0005124895863869736	0.0006093055996861014	0.0037586163852936353	0.0005924215754014088	0.00504739495242818	0.0006897183674589089	0.014211384825504996	0.0016278363343912724	0.0	0.0
9300	1562.1141	3140.2217	214.7836628	52.7955935	0.003	-1	z7-8	nircam4	-0.03539115	0.02763539	99.0	99.0	-0.06152694	0.01942061	99.0	99.0	1.189121	0.03359735	27.8985	0.0307	1.549996	0.04041987	27.6107	0.0283	0.6972824	0.03413825	28.478	0.0532	0.7680548	0.02858633	28.373	0.0404	0.5665779	0.03064179	28.7034	0.0587	0.3855787	0.06900339	29.1212	0.1944	0.1373955	0.05709016	30.2416	0.4513	0.0012958131272275445	0.002203899380294663	-0.0064144481851080995	0.0026569262041196756	0.015794048871859236	0.0005996337094221082	0.023332669745379047	0.0007165707512215743	0.011160664003327202	0.0006088398868176777	0.015428654405340903	0.0005919685469081361	0.009389308910376815	0.0006891914020983406	0.007205307503990906	0.0016265918938172265	0.0	0.0
9481	3152.3174	3186.825	214.7690106	52.785732	0.347	-1	z7-8	nircam4	0.04491911	0.0160997	31.4554	0.3892	0.001199725	0.01131397	35.3888	10.2415	0.05433762	0.01957299	31.2488	0.3912	0.08164642	0.02354762	30.8067	0.3132	0.03494798	0.0198881	31.728	0.618	0.05429231	0.01665369	31.2497	0.3331	0.1241404	0.01785115	30.3517	0.1562	0.04516502	0.04019967	31.4495	0.9666	0.2101015	0.03325931	29.7804	0.1719	0.00293590201617969	0.0022050227668850503	0.0032340089553245834	0.0026582797868998243	0.0016084693888190889	0.0005999394934673344	0.0024746570102853766	0.000716936213127102	0.0009822510520135536	0.0006091503620632937	0.0006967653330727724	0.000592270465764727	0.005559892421920453	0.0006895428211034996	-0.0016039922511196813	0.00162742152086659	0.0	0.0
9655	8813.2402	3239.7424	214.7180926	52.750004	0.348	-1	z7-8	nircam4	0.07515594	0.02854171	30.8966	0.4124	0.01089101	0.02005752	32.9939	2.0	0.06076762	0.0346992	31.1273	0.6201	0.004566096	0.04174547	33.9377	9.9287	-0.05507711	0.03525784	99.0	99.0	0.1900471	0.02952384	29.8894	0.1687	0.1388323	0.03164671	30.2303	0.2476	0.5607896	0.07126639	28.7145	0.138	0.443592	0.05896246	28.9691	0.1444	0.0022151170490695322	0.0022050227668850503	-0.0005008532163394402	0.0026582797868998243	0.002424512499874362	0.0005999394934673344	-0.0006904398391967155	0.000716936213127102	-0.00023108237865842584	0.0006091503620632937	0.0026188264374799536	0.000592270465764727	0.003193257705585976	0.0006895428211034996	0.017164600641319087	0.00162742152086659	0.0	0.0
