NUMBER	REDSHIFT	REDSHIFT_BIN	POINTING	SEX_FLUX_F606W	SEX_FLUXERR_F606W	EAZY_FLUX_F606W	EAZY_FLUXERR_F606W	SEX_FLUX_F814W	SEX_FLUXERR_F814W	EAZY_FLUX_F814W	EAZY_FLUXERR_F814W	SEX_FLUX_F115W	SEX_FLUXERR_F115W	EAZY_FLUX_F115W	EAZY_FLUXERR_F115W	SEX_FLUX_F150W	SEX_FLUXERR_F150W	EAZY_FLUX_F150W	EAZY_FLUXERR_F150W	SEX_FLUX_F200W	SEX_FLUXERR_F200W	EAZY_FLUX_F200W	EAZY_FLUXERR_F200W	SEX_FLUX_F277W	SEX_FLUXERR_F277W	EAZY_FLUX_F277W	EAZY_FLUXERR_F277W	SEX_FLUX_F356W	SEX_FLUXERR_F356W	EAZY_FLUX_F356W	EAZY_FLUXERR_F356W	SEX_FLUX_F410M	SEX_FLUXERR_F410M	EAZY_FLUX_F410M	EAZY_FLUXERR_F410M	SEX_FLUX_F444W	SEX_FLUXERR_F444W	EAZY_FLUX_F444W	EAZY_FLUXERR_F444W
2115	-1	z10-15	nircam8	0.02580073	0.01532534	0.0027195338252825664	0.001826394051475199	-0.02335283	0.009285334	-0.004772730898080665	0.0018983323684928217	0.02096839	0.02046773	0.0007344559922110524	0.0005458949468592943	0.1121149	8.753491e-05	0.0034253245008265686	2.3190155033408585e-06	0.2282949	6.705264e-05	0.006077560694811072	1.7870466139135502e-06	0.1219486	4.334209e-05	0.004159717839400453	1.3412455301865448e-06	0.06737161	0.01829848	0.0025335659222605446	0.0006150338346512498	0.3293707	5.984971e-05	0.010879532832722269	2.1082806769048175e-06	0.105259	3.619041e-05	0.0	0.0
2414	-1	z10-15	nircam8	-0.002062357	0.01126741	0.003014946319607559	0.0018268591404652457	0.0003384007	0.006826713	0.0032012649542880705	0.0018988158476207458	-0.03737076	0.01504818	-0.0013838398077889392	0.0005460339866834149	-0.01793523	6.435694e-05	0.000782686179073651	2.3196060033655532e-06	-0.03102277	4.929808e-05	-0.003053363628421483	1.7875019776071203e-06	0.1506963	3.186574e-05	0.00483184028502318	1.3415871040571358e-06	0.08061946	0.01345331	0.003073958621251476	0.000615190455934886	0.1931025	4.400238e-05	0.010316778270189996	2.1088175748716355e-06	0.2448835	2.660772e-05	0.0	0.0
2819	-1	z10-15	nircam8	0.001340706	0.01181736	0.0005426893194241088	0.0018259289624851514	0.008452708	0.007159917	0.0006459447866008867	0.0018978488893648974	-0.05740307	0.01578266	-0.0014333250391959744	0.0005457556481155756	-0.02813403	6.749813e-05	0.0005597824500217801	2.3184247461297416e-06	0.1244727	5.170426e-05	0.004797621320172373	1.7865915089493516e-06	0.07083604	3.342107e-05	0.0025183517474245444	1.3409039563159538e-06	-0.0009292627	0.01410995	-0.0013464620814142268	0.0006148768870732726	0.09002573	4.615009e-05	0.002463078926119954	2.107743436964772e-06	0.1163099	2.790641e-05	0.0	0.0
3126	-1	z10-15	nircam8	0.005516047	0.0179042	0.0024046061043801726	0.001824997627567271	-0.007956255	0.01084782	0.00013830535719173718	0.0018968811372188552	0.1332735	0.02391193	0.0027466475766331545	0.0005454775684673346	0.055201	0.0001022648	0.00040397017129311703	2.317242717334664e-06	0.05344412	7.833588e-05	-0.00028139846267579615	1.7856805228328407e-06	0.1940856	5.063545e-05	0.005585676092827725	1.3402202077412267e-06	0.09193779	0.02137765	0.005418261100305452	0.0006145636445059997	0.3192543	6.992088e-05	0.008382208365649997	2.106668957084681e-06	0.6372976	4.228033e-05	0.0	0.0
4658	-1	z10-15	nircam8	-0.06054092	0.01690112	-0.004039443652720814	0.001826394051475199	-0.01220656	0.01024007	-0.0022833314026220386	0.0018983323684928217	0.008487661	0.02257227	0.0003558479619346719	0.0005458949468592943	0.06219862	9.653542e-05	0.0006312694734817737	2.3190155033408585e-06	0.0436335	7.394712e-05	0.001075791810200806	1.7870466139135502e-06	-0.001601751	4.779861e-05	0.0010074094944107722	1.3412455301865448e-06	0.1107947	0.02017997	0.004088875959517044	0.0006150338346512498	0.3220491	6.600357e-05	0.010161211229371359	2.1082806769048175e-06	0.3886294	3.991158e-05	0.0	0.0
4728	-1	z10-15	nircam8	0.006364639	0.01603381	-0.0008798619459166357	0.001826394051475199	0.02206608	0.009714583	0.004332270695024044	0.0018983323684928217	0.05699594	0.02141393	0.0010859012853015031	0.0005458949468592943	0.03138899	9.158154e-05	0.0012734076451532714	2.3190155033408585e-06	0.2304233	7.01524e-05	0.004792684763767082	1.7870466139135502e-06	0.1983062	4.534574e-05	0.005032984335202726	1.3412455301865448e-06	0.1859014	0.0191444	0.007255343920831361	0.0006150338346512498	0.425927	6.261648e-05	0.016790758928996813	2.1082806769048175e-06	0.2279689	3.786345e-05	0.0	0.0
5721	-1	z10-15	nircam8	0.03288224	0.01690112	0.002502361562624044	0.0018282532504976013	-0.01557293	0.01024007	-0.0030496299425781287	0.0019002654911143247	-0.02717556	0.02257227	-0.0005458061374371837	0.0005464505883165808	0.1255945	9.653542e-05	0.0032569214036271017	2.321376731880372e-06	0.4730178	7.394712e-05	0.010466498274591897	1.7888665163116016e-06	-0.0281869	4.779861e-05	-0.0002020869082207499	1.342611525252136e-06	0.01788676	0.02017997	0.0004983049708400907	0.0006156599934914543	0.2353406	6.600357e-05	0.00840145803861318	2.1104275848256355e-06	0.3539622	3.991158e-05	0.0	0.0
6083	-1	z10-15	nircam8	0.005148479	0.0119509	-4.6036058531503325e-05	0.0018273242294552933	0.003591496	0.007240823	-0.00012100885169573686	0.0018992991282761218	-0.05834923	0.015961	-0.0022384689297738607	0.0005461727675879375	0.01478948	6.826085e-05	0.00037967351282928785	2.3201965033902484e-06	0.121506	5.228851e-05	0.0031213370088616424	1.7879568238419474e-06	0.176344	3.379872e-05	0.006931576280490906	1.3419286779277268e-06	0.0216354	0.01426939	0.0007945466240684314	0.0006153470772185226	0.5177354	4.667157e-05	0.021251125991511813	2.1093544728384535e-06	0.01400014	2.822175e-05	0.0	0.0
6224	-1	z10-15	nircam8	0.04375958	0.01885399	0.005054312949577422	0.0018291834284776959	0.0113861	0.01142328	0.0009743549307826391	0.001901231258534883	0.3249125	0.02518042	0.006969144629396958	0.000546728409045224	-0.02041522	0.0001076898	0.0007981685444859367	2.322556960370496e-06	0.2729198	8.249147e-05	0.006626607706451825	1.7897756913225135e-06	0.3792838	5.332158e-05	0.01015341999294636	1.3432937717429994e-06	0.4427039	0.02251169	0.012204883200420905	0.0006159729097643862	0.2293783	7.363006e-05	0.007807857490980906	2.1115003548395903e-06	0.4738095	4.452323e-05	0.0	0.0
6987	-1	z10-15	nircam8	0.01278011	0.04878934	-0.004219997677508732	0.0018282532504976013	-0.02896033	0.02956053	0.004045964120316674	0.0019002654911143247	0.8047855	0.06516052	0.0009026281548994939	0.0005464505883165808	0.8330461	0.0002786737	0.0015699497620843747	2.321376731880372e-06	1.988352	0.0002134669	0.006743100605900599	1.7888665163116016e-06	1.720739	0.0001379827	0.011181605410108632	1.342611525252136e-06	1.790246	0.05825454	0.010402335372936812	0.0006156599934914543	2.54949	0.0001905359	0.02991935392498817	2.1104275848256355e-06	2.481743	0.0001152148	0.0	0.0
