source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W
3066	2385.3757	1474.9094	0.0	99.0	99.0	-0.002547349088439926	0.0016679699326614663	-1.5272152324564352	0.0018257676336955356	28.4053	0.0286	0.022392365577536804	0.0005906736474685776	37.90987743147628	0.001661693490401431																																										
11839	9374.0615	4660.1934	0.348	32.0418	0.5983	0.0030282962247223707	0.001668395685766783	1.8150947347544757	0.004208229673288171																																																
4927	6794.3242	2034.943	0.019	35.0241	9.3391	0.0001942070476027107	0.0016700963843124781	0.11628493386784927	0.0023571502732735905																																																
8621	7807.4844	3306.3528	0.344	99.0	99.0	-0.004607922388030597	0.0016692460350396304	-2.760481253993931	0.0025968797035731657																																																
8157	7532.8081	3114.5842	0.02	99.0	99.0	-0.005983225239733692	0.0016675441795561492	-3.5880460098671865	0.0025945229054077424																																																
4637	2430.1519	1960.4663	0.354	30.7796	0.1872	0.009684268060808162	0.0016692460350396304	5.801582185922785	0.00251270851341042																																																
1495	8429.6533	873.4465	0.062	28.6565	0.0265	0.0684412694212896	0.0016700963843124781	40.98043086864387	0.0024585598522861136																																																
7406	8801.1689	2855.4138	0.348	31.787	0.4734	0.003829344907687039	0.0016692460350396304	2.294056614366093	0.0027927895704606943																																																
3532	3559.6514	1627.3463	0.349	99.0	99.0	-0.0029355537779060473	0.0016700963843124781	-1.757715186668412	0.0017847995485559265																																																
11940	6755.4546	4727.8892	0.358	30.2485	0.1148	0.015795243527830412	0.0016700963843124781	9.457683805676147	0.009212276441633907																																																
