source_number	x_image	y_image	class_star	mag_aper_F606W	magerr_aper_F606W	flux_aper_F606W	fluxerr_aper_F606W	snr_F606W	nmad_F606W	mag_aper_F814W	magerr_aper_F814W	flux_aper_F814W	fluxerr_aper_F814W	snr_F814W	nmad_F814W	mag_aper_F115W	magerr_aper_F115W	flux_aper_F115W	fluxerr_aper_F115W	snr_F115W	nmad_F115W	mag_aper_F150W	magerr_aper_F150W	flux_aper_F150W	fluxerr_aper_F150W	snr_F150W	nmad_F150W	mag_aper_F200W	magerr_aper_F200W	flux_aper_F200W	fluxerr_aper_F200W	snr_F200W	nmad_F200W	mag_aper_F277W	magerr_aper_F277W	flux_aper_F277W	fluxerr_aper_F277W	snr_F277W	nmad_F277W	mag_aper_F356W	magerr_aper_F356W	flux_aper_F356W	fluxerr_aper_F356W	snr_F356W	nmad_F356W	mag_aper_F444W	magerr_aper_F444W	flux_aper_F444W	fluxerr_aper_F444W	snr_F444W	nmad_F444W	mag_aper_F410M	magerr_aper_F410M	flux_aper_F410M	fluxerr_aper_F410M	snr_F410M	nmad_F410M
1927	7184.9556	1024.1179	0.357	99.0	99.0	-0.006843374932567937	0.001915182084938335	-3.5732241787277785	0.003202809544170547																																																
3925	7564.8452	1640.5162	0.437	30.0482	0.1095	0.018994928516198526	0.001915182084938335	9.918079677948807	0.0031207680704091216																																																
10841	823.5365	3491.2476	0.346	32.8059	1.3894	0.0014981592321560808	0.0019166456112378616	0.7816568818836038	0.0026710017159067667																																																
5091	3053.4338	1961.8313	0.019	31.8793	0.5918	0.0035170561618749372	0.0019166456112378616	1.8350059819370854	0.003166460862754338																																																
2674	1916.166	1307.1049	0.36	30.8763	0.2348	0.008858930625960286	0.0019156703126841058	4.624454723395364	0.0025392595964227583																																																
14171	10700.5635	4514.3188	0.354	30.7781	0.2145	0.009697527724775652	0.001915182084938335	5.063501690539201	0.002375168327222149																																																
3163	500.5031	1473.5001	0.347	32.323	0.8928	0.0023373498400557626	0.0019215186331932813	1.2164075849586902	0.002149256304773866																																																
10166	1174.7332	3305.0703	0.052	30.1767	0.1234	0.01687527965936958	0.0019171338389836325	8.802348232670079	0.0032023504112332762																																																
11830	9770.7627	3833.7798	0.926	28.1242	0.0186	0.11174952317927689	0.0019166456112378616	58.30473955334064	0.0028948799031719976																																																
16757	8777.1562	5769.6245	0.349	32.3662	0.9269	0.0022460917444191166	0.0019171338389836325	1.1715883882211797	0.0029793597019606263																																																
13210	7692.9678	4172.5811	0.364	30.956	0.2528	0.00823235741665491	0.0019161573834920904	4.296284578489004	0.0022455597357535296																																																
16927	8888.7773	5617.106	0.349	99.0	99.0	-0.00044576523667339094	0.0019137162447632357	-0.23293173054949998	0.0023610194149212525																																																
16633	3264.1851	5476.9888	0.019	99.0	99.0	-0.001598717950655884	0.0019137162447632357	-0.8353996863592893	0.0025082762336520177																																																
2577	2517.4182	1283.8265	0.347	34.1573	4.8234	0.0004315357117597411	0.0019166456112378616	0.2251515403940714	0.00411570822315388																																																
8927	2674.3787	3018.0054	0.019	99.0	99.0	-0.0023288602305807224	0.0019156703126841058	-1.215689471805659	0.002861751551778041																																																
16188	4080.5278	5317.2827	0.353	30.4678	0.1615	0.01290602279438558	0.0019195715068991283	6.723387353896465	0.00285238427088976																																																
10276	3814.4211	3312.1316	0.049	29.5864	0.0716	0.029065331504773327	0.0019161573834920904	15.168551265764702	0.002887018912479892																																																
7080	8909.8564	2542.3665	0.189	99.0	99.0	-0.0006950029556263162	0.0019166456112378616	-0.36261422119525266	0.0029975796605954405																																																
14634	9651.8115	4778.4487	0.977	27.326	0.0089	0.23309704851027271	0.0019166456112378616	121.61718741511503	0.0024591269588073363																																																
5918	1902.1984	2209.5583	0.347	99.0	99.0	-0.0009623194472013136	0.0019161573834920904	-0.5022131561278854	0.0029435973988943065																																																
7527	3793.7178	2615.0781	0.358							31.6109	0.2757	0.007725619366387806	0.001960937755272755	3.9397575703840824	0.0030016962800138527																																										
7358	10690.1455	2612.8333	0.347							32.1134	0.4373	0.004863327662252909	0.001958446527845126	2.483257823538341	0.003472674382931424																																										
8007	3667.6116	2764.6016	0.358							32.2543	0.4965	0.004271524202132509	0.0019529541970130042	2.187211665622113	0.0026679488958872145																																										
7702	3308.4443	2641.9944	0.366							30.6547	0.1141	0.018639293354241582	0.001957947766330974	9.519811342653954	0.0028217960339501614																																										
12006	6629.6787	3805.1099	0.347							32.6804	0.7383	0.00288500093312385	0.001961435722896714	1.4708618281220982	0.003106672279522438																																										
10371	4047.1528	3380.8164	0.019							99.0	99.0	-0.004714385923024878	0.001958944892414181	-2.4065944587215635	0.0023205048762268326																																										
