pointing	ID	f606w_FLUX	f606w_FLUXERR	f606w_SNR	f814w_FLUX	f814w_FLUXERR	f814w_SNR	f115w_FLUX	f115w_FLUXERR	f115w_SNR	f150w_FLUX	f150w_FLUXERR	f150w_SNR	f200w_FLUX	f200w_FLUXERR	f200w_SNR	f277w_FLUX	f277w_FLUXERR	f277w_SNR	f356w_FLUX	f356w_FLUXERR	f356w_SNR	f410m_FLUX	f410m_FLUXERR	f410m_SNR	f444w_FLUX	f444w_FLUXERR	f444w_SNR
nircam1	2858	-5.885e-02	3.093e-02	-1.90	8.370e-02	2.493e-02	3.36	7.254e-01	5.877e-02	12.34	1.738e+00	6.964e-02	24.95	1.332e+00	5.528e-02	24.10	1.299e+00	4.592e-02	28.28	1.134e+00	4.833e-02	23.47	4.838e-01	1.067e-01	4.53	1.971e+00	8.545e-02	23.06
nircam1	4010	-7.219e-02	2.474e-02	-2.92	-3.044e-02	1.994e-02	-1.53	5.341e-01	4.701e-02	11.36	3.236e+00	5.571e-02	58.08	3.226e+00	4.422e-02	72.95	1.984e+00	3.673e-02	54.02	2.185e+00	3.866e-02	56.51	1.654e+00	8.538e-02	19.37	2.740e+00	6.836e-02	40.09
nircam1	6802	-4.545e-02	2.772e-02	-1.64	3.800e-02	2.234e-02	1.70	7.104e-01	5.266e-02	13.49	1.938e+00	6.240e-02	31.05	2.136e+00	4.953e-02	43.12	1.530e+00	4.115e-02	37.19	1.557e+00	4.331e-02	35.94	1.669e+00	9.564e-02	17.45	2.198e+00	7.657e-02	28.70
nircam1	8216	-1.251e-01	4.411e-02	-2.84	7.057e-02	3.555e-02	1.98	4.311e-02	8.381e-02	0.51	2.637e+00	9.932e-02	26.55	2.561e+00	7.884e-02	32.48	3.494e+00	6.549e-02	53.35	2.927e+00	6.893e-02	42.46	2.599e+00	1.522e-01	17.07	4.127e+00	1.219e-01	33.86
nircam1	11572	-4.068e-02	2.887e-02	-1.41	1.127e-01	2.327e-02	4.84	4.655e-01	5.485e-02	8.49	1.773e+00	6.500e-02	27.28	1.513e+00	5.159e-02	29.33	9.670e-01	4.286e-02	22.57	6.524e-01	4.511e-02	14.46	1.432e+00	9.962e-02	14.37	9.138e-01	7.975e-02	11.46
nircam1	10899	1.580e-01	3.093e-02	5.11	1.735e-01	2.493e-02	6.96	1.333e-01	5.877e-02	2.27	1.155e+00	6.964e-02	16.59	1.135e+00	5.528e-02	20.53	1.026e+00	4.592e-02	22.35	9.696e-01	4.833e-02	20.06	3.426e-01	1.067e-01	3.21	1.329e+00	8.545e-02	15.55
nircam1	8272	-2.822e-02	1.936e-02	-1.46	-7.807e-03	1.560e-02	-0.50	2.947e-01	3.678e-02	8.01	4.770e-02	4.359e-02	1.09	2.305e-01	3.460e-02	6.66	3.054e-01	2.874e-02	10.63	1.080e-01	3.025e-02	3.57	1.014e+00	6.680e-02	15.18	3.993e-01	5.348e-02	7.47
nircam2	1332	-2.199e-02	3.022e-02	-0.73	6.847e-02	2.253e-02	3.04	8.303e-01	5.444e-02	15.25	1.595e+00	6.452e-02	24.73	1.210e+00	5.151e-02	23.50	1.019e+00	4.185e-02	24.34	9.005e-01	4.511e-02	19.96	1.008e+00	9.997e-02	10.08	1.356e+00	7.983e-02	16.98
nircam2	2034	1.188e-02	2.204e-02	0.54	8.556e-04	1.643e-02	0.05	6.275e-01	3.970e-02	15.81	1.576e+00	4.705e-02	33.50	1.474e+00	3.756e-02	39.24	1.752e+00	3.052e-02	57.41	2.336e+00	3.290e-02	71.00	4.566e+00	7.291e-02	62.63	6.929e+00	5.822e-02	119.01
nircam2	5726	1.749e-02	1.976e-02	0.89	1.870e-02	1.473e-02	1.27	1.808e-01	3.560e-02	5.08	9.361e-01	4.218e-02	22.19	9.046e-01	3.368e-02	26.86	5.632e-01	2.736e-02	20.58	4.939e-01	2.949e-02	16.75	4.385e-01	6.536e-02	6.71	4.504e-01	5.219e-02	8.63
