combo_index,num_sources,veto_snr,star_cut,color1_min,color2_max,color2_min,color3_intercept,color3_slope,snr_threshold,recovered_ids
0,14,2,0.8,0.2,0.5,-1.5,0.3,0.3,2,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
1,14,2,0.8,0.2,0.5,-1.5,0.3,0.3,3,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
2,14,2,0.8,0.2,0.5,-1.5,0.3,0.3,4,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
3,14,2,0.8,0.2,0.5,-1.5,0.3,0.3,5,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
4,14,2,0.8,0.2,0.5,-1.5,0.3,0.3,6,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
5,14,2,0.8,0.2,0.5,-1.5,0.3,0.44,2,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
6,14,2,0.8,0.2,0.5,-1.5,0.3,0.44,3,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
7,14,2,0.8,0.2,0.5,-1.5,0.3,0.44,4,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
8,14,2,0.8,0.2,0.5,-1.5,0.3,0.44,5,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
9,14,2,0.8,0.2,0.5,-1.5,0.3,0.44,6,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
10,12,2,0.8,0.2,0.5,-1.5,0.3,0.6,2,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
11,12,2,0.8,0.2,0.5,-1.5,0.3,0.6,3,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
12,12,2,0.8,0.2,0.5,-1.5,0.3,0.6,4,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
13,12,2,0.8,0.2,0.5,-1.5,0.3,0.6,5,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
14,12,2,0.8,0.2,0.5,-1.5,0.3,0.6,6,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
15,11,2,0.8,0.2,0.5,-1.5,0.65,0.3,2,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
16,11,2,0.8,0.2,0.5,-1.5,0.65,0.3,3,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
17,11,2,0.8,0.2,0.5,-1.5,0.65,0.3,4,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
18,11,2,0.8,0.2,0.5,-1.5,0.65,0.3,5,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
19,11,2,0.8,0.2,0.5,-1.5,0.65,0.3,6,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
20,10,2,0.8,0.2,0.5,-1.5,0.65,0.44,2,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
21,10,2,0.8,0.2,0.5,-1.5,0.65,0.44,3,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
22,10,2,0.8,0.2,0.5,-1.5,0.65,0.44,4,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
23,10,2,0.8,0.2,0.5,-1.5,0.65,0.44,5,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
24,10,2,0.8,0.2,0.5,-1.5,0.65,0.44,6,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
25,10,2,0.8,0.2,0.5,-1.5,0.65,0.6,2,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
26,10,2,0.8,0.2,0.5,-1.5,0.65,0.6,3,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
27,10,2,0.8,0.2,0.5,-1.5,0.65,0.6,4,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
28,10,2,0.8,0.2,0.5,-1.5,0.65,0.6,5,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
29,10,2,0.8,0.2,0.5,-1.5,0.65,0.6,6,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
30,7,2,0.8,0.2,0.5,-1.5,1.0,0.3,2,"4010,11659,12779,1424,8216,9562,5726"
31,7,2,0.8,0.2,0.5,-1.5,1.0,0.3,3,"4010,11659,12779,1424,8216,9562,5726"
32,7,2,0.8,0.2,0.5,-1.5,1.0,0.3,4,"4010,11659,12779,1424,8216,9562,5726"
