combo_index,num_sources,veto_snr,star_cut,color1_min,color2_max,color2_min,color3_intercept,color3_slope,snr_threshold
0,2,2,0.8,0.5,0.5,-1.5,0.3,0.3,4
1,2,2,0.8,0.5,0.5,-1.5,0.3,0.3,5
2,2,2,0.8,0.5,0.5,-1.5,0.3,0.3,6
3,2,2,0.8,0.5,0.5,-1.5,0.3,0.44,4
4,2,2,0.8,0.5,0.5,-1.5,0.3,0.44,5
5,2,2,0.8,0.5,0.5,-1.5,0.3,0.44,6
6,2,2,0.8,0.5,0.5,-1.5,0.3,0.6,4
7,2,2,0.8,0.5,0.5,-1.5,0.3,0.6,5
8,2,2,0.8,0.5,0.5,-1.5,0.3,0.6,6
9,2,2,0.8,0.5,0.5,-1.5,0.65,0.3,4
10,2,2,0.8,0.5,0.5,-1.5,0.65,0.3,5
11,2,2,0.8,0.5,0.5,-1.5,0.65,0.3,6
12,1,2,0.8,0.5,0.5,-1.5,0.65,0.44,4
13,1,2,0.8,0.5,0.5,-1.5,0.65,0.44,5
14,1,2,0.8,0.5,0.5,-1.5,0.65,0.44,6
15,1,2,0.8,0.5,0.5,-1.5,0.65,0.6,4
16,1,2,0.8,0.5,0.5,-1.5,0.65,0.6,5
17,1,2,0.8,0.5,0.5,-1.5,0.65,0.6,6
18,1,2,0.8,0.5,0.5,-1.5,1.0,0.3,4
19,1,2,0.8,0.5,0.5,-1.5,1.0,0.3,5
20,1,2,0.8,0.5,0.5,-1.5,1.0,0.3,6
21,1,2,0.8,0.5,0.5,-1.5,1.0,0.44,4
22,1,2,0.8,0.5,0.5,-1.5,1.0,0.44,5
23,1,2,0.8,0.5,0.5,-1.5,1.0,0.44,6
24,1,2,0.8,0.5,0.5,-1.5,1.0,0.6,4
25,1,2,0.8,0.5,0.5,-1.5,1.0,0.6,5
26,1,2,0.8,0.5,0.5,-1.5,1.0,0.6,6
27,2,2,0.8,0.5,0.5,-1.0,0.3,0.3,4
28,2,2,0.8,0.5,0.5,-1.0,0.3,0.3,5
29,2,2,0.8,0.5,0.5,-1.0,0.3,0.3,6
30,2,2,0.8,0.5,0.5,-1.0,0.3,0.44,4
31,2,2,0.8,0.5,0.5,-1.0,0.3,0.44,5
32,2,2,0.8,0.5,0.5,-1.0,0.3,0.44,6
33,2,2,0.8,0.5,0.5,-1.0,0.3,0.6,4
34,2,2,0.8,0.5,0.5,-1.0,0.3,0.6,5
35,2,2,0.8,0.5,0.5,-1.0,0.3,0.6,6
36,2,2,0.8,0.5,0.5,-1.0,0.65,0.3,4
37,2,2,0.8,0.5,0.5,-1.0,0.65,0.3,5
38,2,2,0.8,0.5,0.5,-1.0,0.65,0.3,6
39,1,2,0.8,0.5,0.5,-1.0,0.65,0.44,4
40,1,2,0.8,0.5,0.5,-1.0,0.65,0.44,5
41,1,2,0.8,0.5,0.5,-1.0,0.65,0.44,6
42,1,2,0.8,0.5,0.5,-1.0,0.65,0.6,4
43,1,2,0.8,0.5,0.5,-1.0,0.65,0.6,5
44,1,2,0.8,0.5,0.5,-1.0,0.65,0.6,6
45,1,2,0.8,0.5,0.5,-1.0,1.0,0.3,4
46,1,2,0.8,0.5,0.5,-1.0,1.0,0.3,5
47,1,2,0.8,0.5,0.5,-1.0,1.0,0.3,6
48,1,2,0.8,0.5,0.5,-1.0,1.0,0.44,4
49,1,2,0.8,0.5,0.5,-1.0,1.0,0.44,5
50,1,2,0.8,0.5,0.5,-1.0,1.0,0.44,6
51,1,2,0.8,0.5,0.5,-1.0,1.0,0.6,4
52,1,2,0.8,0.5,0.5,-1.0,1.0,0.6,5
53,1,2,0.8,0.5,0.5,-1.0,1.0,0.6,6
54,1,2,0.8,0.5,0.5,-0.5,0.3,0.3,4
55,1,2,0.8,0.5,0.5,-0.5,0.3,0.3,5
56,1,2,0.8,0.5,0.5,-0.5,0.3,0.3,6
57,1,2,0.8,0.5,0.5,-0.5,0.3,0.44,4
58,1,2,0.8,0.5,0.5,-0.5,0.3,0.44,5
59,1,2,0.8,0.5,0.5,-0.5,0.3,0.44,6
60,1,2,0.8,0.5,0.5,-0.5,0.3,0.6,4
61,1,2,0.8,0.5,0.5,-0.5,0.3,0.6,5
62,1,2,0.8,0.5,0.5,-0.5,0.3,0.6,6
63,1,2,0.8,0.5,0.5,-0.5,0.65,0.3,4
64,1,2,0.8,0.5,0.5,-0.5,0.65,0.3,5
65,1,2,0.8,0.5,0.5,-0.5,0.65,0.3,6
66,0,2,0.8,0.5,0.5,-0.5,0.65,0.44,4
67,0,2,0.8,0.5,0.5,-0.5,0.65,0.44,5
68,0,2,0.8,0.5,0.5,-0.5,0.65,0.44,6
69,0,2,0.8,0.5,0.5,-0.5,0.65,0.6,4
70,0,2,0.8,0.5,0.5,-0.5,0.65,0.6,5
71,0,2,0.8,0.5,0.5,-0.5,0.65,0.6,6
72,0,2,0.8,0.5,0.5,-0.5,1.0,0.3,4
73,0,2,0.8,0.5,0.5,-0.5,1.0,0.3,5
74,0,2,0.8,0.5,0.5,-0.5,1.0,0.3,6
