pointing	ID	F115w-F150w	SNRf115w
nircam1	2858	0.948	12.3
nircam1	4010	1.956	11.4
nircam1	6802	1.089	13.5
nircam1	8216	4.466	0.5
nircam1	11572	1.452	8.5
nircam1	10899	2.345	2.3
nircam1	8272	-1.977	8.0
nircam2	1332	0.709	15.3
nircam2	2034	1.000	15.8
nircam2	5726	1.785	5.1
nircam2	11316	0.530	7.1
nircam3	9992	1.829	3.6
nircam4	315	1.312	11.4
nircam4	1669	1.382	8.8
nircam4	1843	1.052	11.6
nircam4	9859	0.312	27.0
nircam4	9427	0.685	10.8
nircam4	12415	2.153	3.7
nircam4	11659	2.166	2.6
nircam5	4547	1.816	6.8
nircam5	9883	1.838	9.7
nircam5	12083	1.308	11.1
nircam5	12779	1.982	11.7
nircam5	12888	0.834	60.1
nircam6	3206	0.729	11.3
nircam7	7070	0.977	12.0
nircam7	9437	70.600	-3.2
nircam7	9959	1.001	22.5
nircam7	11615	0.748	6.9
nircam7	11754	1.167	16.9
nircam7	3581	0.209	32.2
nircam7	13394	0.979	6.9
nircam7	13743	1.103	14.1
nircam7	14097	1.398	10.4
nircam7	14208	71.686	-4.7
nircam8	1398	1.253	9.3
nircam8	2080	2.456	3.0
nircam8	2288	0.704	12.2
nircam8	4493	0.758	29.6
nircam8	6986	1.327	13.4
nircam8	8954	5.267	0.3
nircam8	9454	2.194	3.6
nircam8	11712	3.259	1.1
nircam8	14604	0.736	15.7
nircam9	2646	6.475	0.1
nircam9	3096	1.433	12.7
nircam9	5572	1.538	3.1
nircam9	9061	0.656	6.8
nircam9	8076	-2.321	3.1
nircam10	1424	1.245	9.3
nircam10	1935	1.052	8.5
nircam10	7847	0.690	41.4
nircam10	9562	1.549	11.4
nircam10	10415	1.036	15.4
