Brenjit_ID	Redshift_Range(s)
2858	None
4010	z_8.5-12
6802	None
8216	z_8.5-12
11572	None
10899	None
8272	None
1332	None
2034	None
5726	z_8.5-12
11316	None
9992	None
315	None
1669	None
1843	None
9859	z_5.5-8.5
9427	None
12415	None
11659	z_8.5-12
4547	None
9883	None
12083	None
12779	z_8.5-12
12888	None
3206	None
7070	None
9437	None
9959	None
11615	None
11754	None
3581	z_5.5-8.5
13394	None
13743	None
14097	None
14208	None
1398	None
2080	None
2288	None
4493	None
6986	None
8954	None
9454	None
11712	None
14604	None
2646	None
3096	None
5572	None
9061	None
8076	None
1424	z_8.5-12
1935	None
7847	None
9562	z_8.5-12
10415	None
