NUMBER,X_IMAGE,Y_IMAGE,MAG_AUTO,MAGERR_AUTO,MAG_APER,MAGERR_APER,CLASS_STAR,FLUX_AUTO,FLUXERR_AUTO,FLUX_APER,FLUXERR_APER,ALPHA_J2000,DELTA_J2000,SNR,pointing
210,1415.4386,165.9381,30.5431,0.1358,30.1512,0.146,0.359,0.1040782,0.01301133,0.1493284,0.02007035,215.041824,52.9901638,7.999043910192117,nircam1
341,3598.1597,213.912,29.3977,0.0806,29.5694,0.0854,0.091,0.2989085,0.0221922,0.2551891,0.02006524,215.0217117,52.9765849,13.469079226034374,nircam1
484,6849.1846,246.4043,30.6637,0.1267,29.9421,0.1201,0.098,0.09313908,0.01086247,0.18104,0.02002941,214.9921892,52.9561431,8.57439238037021,nircam1
490,7422.2915,259.1452,28.3579,0.0474,28.7716,0.041,0.005,0.7788068,0.03397473,0.5320503,0.02008568,214.9869139,52.9525767,22.92311962449738,nircam1
495,7043.6792,257.6595,28.6244,0.0619,29.4749,0.0783,0.102,0.6093357,0.03472152,0.2783986,0.02008057,214.9903258,52.9549703,17.54922307548748,nircam1
531,6938.2891,264.6849,28.804,0.08,29.6582,0.0929,0.13,0.5164077,0.03803552,0.2351325,0.02011121,214.9911973,52.9556767,13.576985407324521,nircam1
594,6926.4268,271.4919,29.4304,0.1049,30.0815,0.1368,0.528,0.2900322,0.02801628,0.1592282,0.02005501,214.9912321,52.9557888,10.352273749405702,nircam1
1058,2257.3237,458.2407,30.1367,0.1408,30.1483,0.1455,0.073,0.1513289,0.01961532,0.1497163,0.02006012,215.0311817,52.9864076,7.714832080231166,nircam1
1221,1880.6211,526.2188,29.6312,0.0803,29.3836,0.072,0.595,0.2410652,0.01783449,0.30281,0.02007035,215.03385,52.9891635,13.516798069358865,nircam1
1496,7640.9072,631.385,29.3537,0.0981,29.5453,0.0835,0.337,0.3112762,0.02810769,0.2609169,0.02004989,214.9810335,52.9532014,11.074414154987478,nircam1
1612,211.7443,676.4327,30.5697,0.1493,30.2061,0.1536,0.355,0.1015588,0.01396229,0.1419553,0.02007546,215.0472654,53.0005554,7.273792479600409,nircam1
2247,3598.9536,966.6725,28.3499,0.0536,28.7373,0.0397,0.0,0.7846268,0.03870403,0.5491629,0.02007035,215.013777,52.98065,20.272483253035922,nircam1
2793,10231.873,1180.0938,28.9768,0.0722,29.4729,0.0783,0.081,0.440461,0.02927002,0.2789116,0.0201061,214.9520258,52.9397264,15.048196072295132,nircam1
2940,9576.0205,1247.0514,28.921,0.0673,29.281,0.0655,0.091,0.4636609,0.0287394,0.3328314,0.02007035,214.9571992,52.9442499,16.13328392381191,nircam1
3185,614.8829,1341.0951,29.0664,0.0755,29.6371,0.0911,0.371,0.4055683,0.0281988,0.2397473,0.02012141,215.0366406,53.001595,14.382466629785664,nircam1
3191,7805.8276,1347.8276,28.5619,0.0604,29.1504,0.058,0.013,0.6454442,0.03588406,0.3753423,0.02006012,214.9720098,52.9560263,17.98693347408292,nircam1
3217,3480.8584,1365.444,28.2474,0.0458,28.6701,0.0373,0.002,0.8622658,0.036381,0.5842147,0.02007546,215.0106372,52.9835548,23.70099227618812,nircam1
3339,8863.4287,1405.142,28.4332,0.0523,28.9225,0.0471,0.777,0.7266557,0.03501577,0.4630373,0.02007035,214.9619226,52.9496256,20.75224106167021,nircam1
3410,3727.4629,1429.541,28.5264,0.0686,29.5989,0.0878,0.389,0.6668859,0.0421311,0.2483474,0.02008057,215.0077477,52.9823375,15.828827160933374,nircam1
3468,4305.4331,1456.5333,30.2241,0.1566,30.1741,0.1491,0.07,0.1396305,0.0201316,0.1462062,0.02007035,215.0022741,52.9788179,6.935886864432037,nircam1
3698,8114.7603,1537.4685,30.5002,0.1507,30.1259,0.1425,0.351,0.1082713,0.01502419,0.1528375,0.02006012,214.967242,52.9550908,7.206465040711014,nircam1
3812,7571.7295,1577.4165,30.57,0.1235,29.8907,0.1149,0.47,0.1015307,0.01154919,0.1898223,0.02007546,214.9716913,52.958752,8.791153318977347,nircam1
3818,659.4434,1584.2246,29.5606,0.1094,29.4825,0.0789,0.069,0.2572611,0.02592391,0.2764419,0.02008057,215.0336787,53.0026275,9.923699781398717,nircam1
3827,8165.29,1600.0115,29.4428,0.0924,29.4459,0.0762,0.041,0.2867286,0.0243946,0.285917,0.02005501,214.9661302,52.9551081,11.753773376075033,nircam1
